pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,22,6rPO02ozF3bM7NnOV4h6s2
2,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",3,1,7,1jYiIOC5d6soxkJP81fxq2
3,That's What I Like,Bruno Mars,2,1,22,0KKkJNfGyhkQ5aFogxQAPU
4,Shape Of You,Ed Sheeran,4,1,23,7qiZfU4dY1lWllzX7mPBI3
5,Humble.,Kendrick Lamar,5,1,11,7KXjTSCq5nL1LoYtL7XAwS
6,Mask Off,Future,6,5,17,0VgkVdmE4gld66l8iyGjgx
7,Something Just Like This,The Chainsmokers & Coldplay,8,3,17,1dNIEtp7AY3oDAKCGg2XkH
8,Stay,Zedd & Alessia Cara,9,7,16,6uBhi9gBXWjanegOb2Phh0
9,Congratulations,Post Malone Featuring Quavo,10,9,25,3a1lNhkSLSkpJE4MSHpDu9
10,XO TOUR Llif3,Lil Uzi Vert,7,7,12,7GX5flRQZVHRAGd6B4TmDO
11,Body Like A Back Road,Sam Hunt,14,6,20,7mldq42yDuxiUNn08nvzHO
12,Say You Won't Let Go,James Arthur,11,11,34,5uCax9HTNlzGybIStD3vDh
13,Issues,Julia Michaels,12,11,21,7vu0JkJh0ldukEYbTVcqd0
14,Redbone,Childish Gambino,16,14,28,3kxfsdsCpFgN412fpnW85Y
15,Believer,Imagine Dragons,13,13,19,1NtIMM4N0cFa1dNzN15chl
16,2U,David Guetta Featuring Justin Bieber,-1,16,1,762UXiwEHYY97VL45sAUPR
17,It Ain't Me,Kygo x Selena Gomez,15,10,18,12GEpg2XOPyqk03JZEZnJs
18,Unforgettable,French Montana Featuring Swae Lee,17,17,10,3B54sVLJ402zGa6Xm4YGNe
19,There's Nothing Holdin' Me Back,Shawn Mendes,18,18,8,7JJmb5XwzOO8jgpou264Ml
20,Now Or Never,Halsey,21,20,10,7i2DJ88J7jQ8K7zqFX2fW8
