pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,26,6rPO02ozF3bM7NnOV4h6s2
2,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4,2,4,45XhKYRRkyeqoW3teSOkCM
3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne ",2,1,11,1jYiIOC5d6soxkJP81fxq2
4,That's What I Like,Bruno Mars,3,1,26,0KKkJNfGyhkQ5aFogxQAPU
5,Shape Of You,Ed Sheeran,5,1,27,7qiZfU4dY1lWllzX7mPBI3
6,Humble.,Kendrick Lamar,6,1,15,7KXjTSCq5nL1LoYtL7XAwS
7,Believer,Imagine Dragons,7,6,23,1NtIMM4N0cFa1dNzN15chl
8,There's Nothing Holdin' Me Back,Shawn Mendes,14,8,12,7JJmb5XwzOO8jgpou264Ml
9,Unforgettable,French Montana Featuring Swae Lee,10,9,14,3B54sVLJ402zGa6Xm4YGNe
10,Body Like A Back Road,Sam Hunt,8,6,24,7mldq42yDuxiUNn08nvzHO
11,Congratulations,Post Malone Featuring Quavo,9,8,29,3a1lNhkSLSkpJE4MSHpDu9
12,Stay,Zedd & Alessia Cara,11,7,20,6uBhi9gBXWjanegOb2Phh0
13,Attention,Charlie Puth,15,13,12,4iLqG9SeJSnt0cSPICSjxv
14,Redbone,Childish Gambino,16,14,32,3kxfsdsCpFgN412fpnW85Y
15,Something Just Like This,The Chainsmokers & Coldplay,13,3,21,1dNIEtp7AY3oDAKCGg2XkH
16,XO TOUR Llif3,Lil Uzi Vert,17,7,16,7GX5flRQZVHRAGd6B4TmDO
17,Now Or Never,Halsey,18,17,14,7i2DJ88J7jQ8K7zqFX2fW8
18,Mask Off,Future,12,5,21,0VgkVdmE4gld66l8iyGjgx
19,Slow Hands,Niall Horan,22,19,11,27vTihlWXiz9f9lJM3XGVU
20,Issues,Julia Michaels,19,11,25,7vu0JkJh0ldukEYbTVcqd0
21,Say You Won't Let Go,James Arthur,20,11,38,5uCax9HTNlzGybIStD3vDh
22,It Ain't Me,Kygo x Selena Gomez,21,10,22,12GEpg2XOPyqk03JZEZnJs
23,The Story Of O.J.,JAY-Z,-1,23,1,
24,Castle On The Hill,Ed Sheeran,23,6,27,6PCUP3dWmTjcTtXY02oFdT
25,Praying,Kesha,-1,25,1,79NlESqzFSW0hdBWgls4FX
26,Location,Khalid,24,16,27,152lZdxL1OR0ZMW6KquMif
27,Bad Liar,Selena Gomez,25,20,9,2fZQIJew3nkNe99s2PKzul
28,Strip That Down,Liam Payne Featuring Quavo,28,28,8,4Ro98RCK90oHqqSZUnTFq5
29,Magnolia,Playboi Carti,30,29,11,1e1JKLEDKP7hEQzJfNAgPl
30,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",26,26,4,5bcTCxgc7xVfSaMV3RuVke
31,Malibu,Miley Cyrus,31,10,10,2habSXqcJGExM6JJyskY7O
32,2U,David Guetta Featuring Justin Bieber,27,16,5,762UXiwEHYY97VL45sAUPR
33,Bank Account,21 Savage,-1,33,1,2fQrGHiQOvpL9UgPvtYy6G
34,Slippery,Migos Featuring Gucci Mane,29,29,16,6p8NuHm8uCGnn2Dtbtf7zE
35,4:44,JAY-Z,-1,35,1,
36,Everyday We Lit,YFN Lucci Featuring PnB Rock,35,35,14,4PzovBqgnSHKd8opsP7IVM
37,Closer,The Chainsmokers Featuring Halsey,36,1,50,7BKLCZ1jbUBVqRi2FVlTVw
38,In Case You Didn't Know,Brett Young,37,19,23,10M2Ex445zw585Ducldzkw
39,iSpy,KYLE Featuring Lil Yachty,34,4,29,2EEeOnHehOozLq4aS0n6SL
40,Rolex,Ayo & Teo,33,20,22,0pSBuHjILhNEo55xK1zrRt
41,Craving You,Thomas Rhett Featuring Maren Morris,39,39,15,2d48mamATjby7wgPjdrSOQ
42,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,41,39,15,1f5cbQtDrykjarZVrShaDI
43,Bad And Boujee,Migos Featuring Lil Uzi Vert,38,1,35,4Km5HrUvYTaSUfiSGPJeQR
44,My Girl,Dylan Scott,43,43,12,3izNaTiYdotdPL0Bs76JqO
45,Slide,Calvin Harris Featuring Frank Ocean & Migos,32,25,20,6gpcs5eMhJwax4mIfKDYQk
46,DNA.,Kendrick Lamar,42,4,13,6HZILIRieu8S0iqY8kIKhj
47,Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",-1,47,1,
48,24K Magic,Bruno Mars,40,4,40,6b8Be6ljOzmkOmFslEb23P
49,Felices Los 4,Maluma,61,49,9,0qYTZCo5Bwh1nsUFGZP3zn
50,Hurricane,Luke Combs,46,31,22,6xHI9KjUjYT0FPtGO8Mxa1
51,Family Feud,JAY-Z Featuring Beyonce ,-1,51,1,
52,Sorry Not Sorry,Demi Lovato,-1,52,1,3Du2K5dLzmduCNp6uwuaL0
53,Mi Gente,J Balvin & Willy William Featuring Beyonce,70,53,2,4ipnJyDU3Lq15qBAYNqlqK
54,Small Town Boy,Dustin Lynch,60,54,6,2YMhrXQYKkm4kXLcXKKd5z
55,Kill Jay Z,JAY-Z,-1,55,1,7ALEBJ8LOQqXVJ2tqnXtoH
56,Smile,JAY-Z Featuring Gloria Carter,-1,56,1,
57,Versace On The Floor,Bruno Mars,56,56,5,0kN8xEmgMW9mh7UmDYHlJP
58,Do I Make You Wanna,Billy Currington,62,58,5,3I7krC8kr0gFR7P6vInR1I
59,First Day Out,Tee Grizzley,49,48,15,3muBQDekYAg7jm6hDu6R0Z
60,Drinkin' Problem,Midland,58,58,10,1vBpwxsLVwaR4evBIaFmqD
61,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,64,47,11,5tz69p7tJuGPeMGwNTxYuV
62,Love Galore,SZA Featuring Travis Scott,71,62,5,0q75NwOoFiARAVp4EXU4Bs
63,Caught Their Eyes,JAY-Z Featuring Frank Ocean,-1,63,1,
64,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",63,58,5,6H0AwSQ20mo62jGlPGB8S6
65,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,44,29,17,6kex4EBAj0WHXDKZMEJaaF
66,Most Girls,Hailee Steinfeld,92,66,8,10GJQkjRJcZhGTLagFOC62
67,Passionfruit,Drake,51,8,17,5mCPDVBb16L4XQwDdbRUpz
68,Rake It Up,Yo Gotti Featuring Nicki Minaj,78,68,2,4knL4iPxPOZjQzTUlELGSY
69,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,52,46,16,4VFE6ZNqa8jHAmbYICoAFg
70,Thunder,Imagine Dragons,59,54,11,5VnDkUNyX6u5Sk0yZiP8XB
71,Crying In The Club,Camila Cabello,53,47,8,1SJtlNRJDeYHioymcvsqev
72,Escapate Conmigo,Wisin Featuring Ozuna,84,72,5,1KSqYYJFyfTecXFk9M0prc
73,No Such Thing As A Broken Heart,Old Dominion,74,73,7,0OlS52TmtK2gPaEtdmr7DN
74,Loyalty.,Kendrick Lamar Featuring Rihanna,72,14,13,6SwRhMLwNqEi6alNPVG00n
75,Flatliner,Cole Swindell,67,67,12,0WyFpxYlBCgH1gMXd26OOr
76,4 AM,2 Chainz Featuring Travis Scott,65,55,6,1nX9KhK3Fff27SnrIor2Yb
77,Privacy,Chris Brown,66,62,11,2Vf2Pflg5rTWSvSCK4qq4A
78,Bodak Yellow (Money Moves),Cardi B,85,78,2,2771LMNxwf62FTAdpJMQfM
79,Every Time I Hear That Song,Blake Shelton,57,56,10,0c4ICGb0jvszKj3KPR59JU
80,Feel It Still,Portugal. The Man,81,80,4,6QgjcU0zLnzq5OrUoSZ3OK
81,Yours If You Want It,Rascal Flatts,75,75,8,4D4xJ4LyDXBWIf9thFSMAJ
82,Love.,Kendrick Lamar Featuring Zacari,69,18,13,6PGoSes0D9eUDeeAafB2As
83,Signs,Drake,54,36,3,6Na5uKk5SsqZimk0hAWo8y
84,The Cure,Lady Gaga,50,39,13,34oB5r0lcN3fYWCs2uA1k5
85,What Ifs,Kane Brown Featuring Lauren Alaina,79,79,5,7zVCrzzEJU7u24sbJPXA5W
86,Moonlight,JAY-Z,-1,86,1,
87,You Look Good,Lady Antebellum,68,59,14,1dFLowBW25EaL2OC7eKEa2
88,No Promises,Cheat Codes Featuring Demi Lovato,82,74,9,5lNuqFVMca4vPupY10cH0J
89,Glorious,Macklemore Featuring Skylar Grey,-1,89,1,0CokSRCu5hZgPxcZBaEzVE
90,Marcy Me,JAY-Z,-1,90,1,
91,Get Low,Zedd & Liam Payne,-1,91,1,2syQ0f4SAQdzvlAewPl1DJ
92,Fetish,Selena Gomez Featuring Gucci Mane,-1,92,1,4lnAN2S1fcI0SjxEbksZVr
93,Somebody Else Will,Justin Moore,83,83,6,3n2A6l4UayVe3GGKCvfQWV
94,Famous,21 Savage,-1,94,1,6g0TAJ1grweRwBMLQyiZFb
