pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,19,6rPO02ozF3bM7NnOV4h6s2
2,That's What I Like,Bruno Mars,2,1,19,0KKkJNfGyhkQ5aFogxQAPU
3,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",3,1,4,1jYiIOC5d6soxkJP81fxq2
4,Humble.,Kendrick Lamar,5,1,8,7KXjTSCq5nL1LoYtL7XAwS
5,Shape Of You,Ed Sheeran,4,1,20,7qiZfU4dY1lWllzX7mPBI3
6,Mask Off,Future,7,5,14,0VgkVdmE4gld66l8iyGjgx
7,Stay,Zedd & Alessia Cara,9,7,13,6uBhi9gBXWjanegOb2Phh0
8,Something Just Like This,The Chainsmokers & Coldplay,6,3,14,1dNIEtp7AY3oDAKCGg2XkH
9,XO TOUR Llif3,Lil Uzi Vert,8,8,9,7GX5flRQZVHRAGd6B4TmDO
10,It Ain't Me,Kygo x Selena Gomez,12,10,15,12GEpg2XOPyqk03JZEZnJs
11,Issues,Julia Michaels,14,11,18,7vu0JkJh0ldukEYbTVcqd0
12,Say You Won't Let Go,James Arthur,11,11,31,5uCax9HTNlzGybIStD3vDh
13,Congratulations,Post Malone Featuring Quavo,13,12,22,3a1lNhkSLSkpJE4MSHpDu9
14,Body Like A Back Road,Sam Hunt,16,6,17,7mldq42yDuxiUNn08nvzHO
15,Believer,Imagine Dragons,20,15,16,1NtIMM4N0cFa1dNzN15chl
16,iSpy,KYLE Featuring Lil Yachty,15,4,22,2EEeOnHehOozLq4aS0n6SL
17,Sign Of The Times,Harry Styles,17,4,7,5Ohxk2dO5COHF1krpoPigN
18,Malibu, Miley Cyrus,10,10,3,2habSXqcJGExM6JJyskY7O
19,In Case You Didn't Know,Brett Young,23,19,16,10M2Ex445zw585Ducldzkw
20,DNA.,Kendrick Lamar,18,4,6,6HZILIRieu8S0iqY8kIKhj
21,Location,Khalid,19,16,20,152lZdxL1OR0ZMW6KquMif
22,Redbone,Childish Gambino,29,22,25,3kxfsdsCpFgN412fpnW85Y
23,Unforgettable,French Montana Featuring Swae Lee,24,23,7,3B54sVLJ402zGa6Xm4YGNe
24,Passionfruit,Drake,21,8,10,5mCPDVBb16L4XQwDdbRUpz
25,There's Nothing Holdin' Me Back,Shawn Mendes,32,25,5,7JJmb5XwzOO8jgpou264Ml
26,Now Or Never,Halsey,38,26,7,7i2DJ88J7jQ8K7zqFX2fW8
27,Bad Liar,Selena Gomez,80,27,2,2fZQIJew3nkNe99s2PKzul
28,Bad And Boujee,Migos Featuring Lil Uzi Vert ,22,1,28,4Km5HrUvYTaSUfiSGPJeQR
29,Slide,Calvin Harris Featuring Frank Ocean & Migos,25,25,13,6gpcs5eMhJwax4mIfKDYQk
30,Castle On The Hill,Ed Sheeran,39,6,20,6PCUP3dWmTjcTtXY02oFdT
31,Rolex,Ayo & Teo,30,30,15,0pSBuHjILhNEo55xK1zrRt
32,Closer,The Chainsmokers Featuring Halsey,27,1,43,7BKLCZ1jbUBVqRi2FVlTVw
33,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,36,33,10,6kex4EBAj0WHXDKZMEJaaF
34,Tunnel Vision,Kodak Black,26,6,14,4Q3N4Ct4zCuIHuZ65E3BD4
35,Attention,Charlie Puth,45,35,5,4iLqG9SeJSnt0cSPICSjxv
36,Goosebumps,Travis Scott,37,32,28,6gBFPUFcJLzWGx4lenP6h2
37,T-Shirt,Migos,31,19,19,7KOlJ92bu51cltsD9KU5I7
38,24K Magic,Bruno Mars,40,4,33,6b8Be6ljOzmkOmFslEb23P
39,Swang,Rae Sremmurd,35,26,23,6mapJIPnQ23RTAevUoE0DL
40,Hurricane,Luke Combs,34,31,15,6xHI9KjUjYT0FPtGO8Mxa1
41,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,28,9,25,5knuzwU65gJK7IF5yJsuaW
42,Strip That Down,Liam Payne Featuring Quavo,-1,42,1,4Ro98RCK90oHqqSZUnTFq5
43,Deja Vu,Lauren Duski,-1,43,1,1TlbgOoC4pzCEZi9W1KhmI
44,Cold,Maroon 5 Featuring Future,33,16,15,50QWA5PR501dIe2KkJkHRR
45,Scars To Your Beautiful,Alessia Cara,41,8,39,0prNGof3XqfTvNDxHonvdK
46,Swish Swish,Katy Perry Featuring Nicki Minaj,-1,46,1,2y6vf5vYJFow4oABKSW1m3
47,Crying In The Club,Camila Cabello,-1,47,1,1SJtlNRJDeYHioymcvsqev
48,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,47,47,8,1f5cbQtDrykjarZVrShaDI
49,Look At Me!,XXXTentacion,49,34,16,7floNISpH8VF4z4459Qo18
50,Heavy,Linkin Park Featuring Kiiara,54,50,14,104buTcnP2AsxqB7U1FIZ4
51,Slippery,Migos Featuring Gucci Mane,52,48,9,6p8NuHm8uCGnn2Dtbtf7zE
52,Slow Hands,Niall Horan,60,52,4,27vTihlWXiz9f9lJM3XGVU
53,Paris,The Chainsmokers,42,6,19,15vzANxN8G9wWfwAJLLMCg
54,Love.,Kendrick Lamar Featuring Zacari,51,18,6,6PGoSes0D9eUDeeAafB2As
55,If I Told You,Darius Rucker,56,55,6,4Az17HfqonKSWNsaLgTBeK
56,Black,Dierks Bentley,57,56,16,2lFtnEmkIPm2ClN55e2chV
57,The Cure,Lady Gaga,53,39,6,34oB5r0lcN3fYWCs2uA1k5
58,Magnolia,Playboi Carti,55,55,4,1e1JKLEDKP7hEQzJfNAgPl
59,Everyday We Lit,YFN Lucci Featuring PnB Rock,63,59,7,4PzovBqgnSHKd8opsP7IVM
60,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,65,60,9,4VFE6ZNqa8jHAmbYICoAFg
61,Portland,Drake Featuring Quavo & Travis Scott,58,9,10,2bjwRfXMk4uRgOD9IBYl9h
62,The Fighter,Keith Urban Featuring Carrie Underwood,61,38,16,5OUSPcqhYTOzpbXzoEvKim
63,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,64,47,4,5tz69p7tJuGPeMGwNTxYuV
64,First Day Out,Tee Grizzley,67,64,8,3muBQDekYAg7jm6hDu6R0Z
65,Craving You,Thomas Rhett Featuring Maren Morris,71,53,8,2d48mamATjby7wgPjdrSOQ
66,Money On You,Chris Blue,-1,66,1,35ap6ekPdkGkiUkWfWhZB4
67,Bon Appetit,Katy Perry Featuring Migos,59,59,3,7bEpta1ypII0jz5zW993VA
68,How Not To,Dan + Shay,74,68,8,4n0xztUAbHPUV8G3NQvF30
69,Losin Control,Russ,68,62,13,4cxMGhkinTocPSVVKWIw0d
70,Loyalty.,Kendrick Lamar Featuring Rihanna,66,14,6,6SwRhMLwNqEi6alNPVG00n
71,You Look Good,Lady Antebellum,83,60,7,1dFLowBW25EaL2OC7eKEa2
72,Privacy,Chris Brown,73,72,4,2Vf2Pflg5rTWSvSCK4qq4A
73,My Girl,Dylan Scott,79,73,5,3izNaTiYdotdPL0Bs76JqO
74,No Promises,Cheat Codes Featuring Demi Lovato,95,74,2,5lNuqFVMca4vPupY10cH0J
75,Every Time I Hear That Song,Blake Shelton,81,75,3,0c4ICGb0jvszKj3KPR59JU
76,Yours If You Want It,Rascal Flatts,-1,76,1,4D4xJ4LyDXBWIf9thFSMAJ
77,Most Girls,Hailee Steinfeld,-1,77,1,10GJQkjRJcZhGTLagFOC62
78,Drinkin' Problem,Midland,85,78,3,1vBpwxsLVwaR4evBIaFmqD
79,Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,76,76,4,59J5nzL1KniFHnU120dQzt
80,Scared To Be Lonely,Martin Garrix & Dua Lipa,77,76,12,3ebXMykcMXOcLeJ9xZ17XH
81,Flatliner,Cole Swindell,86,81,5,0WyFpxYlBCgH1gMXd26OOr
82,Thunder,Imagine Dragons,94,70,4,5VnDkUNyX6u5Sk0yZiP8XB
83,Element.,Kendrick Lamar,70,16,6,1EaKU4dMbesXXd3BrLCtYG
84,Gyalchester,Drake,-1,29,8,6UjfByV1lDLW0SOVQA4NAi
85,Hometown Girl, Josh Turner,78,56,13,5C6uh95eAL0RBTSGXKQwvk
86,Chained To The Rhythm,Katy Perry Featuring Skip Marley,88,4,15,5tP2TrJDgXXxAHZwcOknOI
87,At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,72,60,8,46xDHGYxW0Z2o20sOsWLAx
