pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,God's Plan,Drake,-1,1,1,2XW4DbS6NddZxRPm5rMCeY
2,Perfect,Ed Sheeran,2,1,22,0tgVpDi06FyKpA1z0VMD4v
3,Havana,Camila Cabello Featuring Young Thug,1,1,24,1rfofaqEpACxVEHIZBJe6W
4,Rockstar,Post Malone Featuring 21 Savage,3,1,19,1OmcAT5Y8eg5bUPv9qJT4R
5,Finesse,Bruno Mars & Cardi B,4,3,4,3Vo4wInECJQuz9BIBMOu8i
6,Bad At Love,Halsey,5,5,21,7y9iMe8SOB6z3NoHE2OfXl
7,Diplomatic Immunity,Drake,-1,7,1,5goGDc74vVREyN8al8CkPh
8,New Rules,Dua Lipa,8,8,26,2ekn2ttSfGqwhhate0LSR0
9,Thunder,Imagine Dragons,6,4,39,5VnDkUNyX6u5Sk0yZiP8XB
10,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,7,4,20,2Xqd0wUttjueBfdcltADOv
11,MotorSport,"Migos, Nicki Minaj & Cardi B",10,6,13,1YZfcVLbbJwfizR5cDOp3q
12,Meant To Be,Bebe Rexha & Florida Georgia Line,17,12,14,7iDa6hUg2VgEL1o1HjmfBn
13,Too Good At Goodbyes,Sam Smith,9,4,20,3VlbOrM6nYPprVvzBZllE5
14,Let You Down,NF,14,14,15,52okn5MNA47tk87PeZJLEL
15,Love.,Kendrick Lamar Featuring Zacari,12,11,31,6PGoSes0D9eUDeeAafB2As
16,Him & I,G-Eazy & Halsey,15,15,8,3YU6vJbjYUG0tiJyXf9x5V
17,Gucci Gang,Lil Pump,11,3,20,43ZyHQITOjhciSUUNPVRHc
18,Gummo,6ix9ine,13,12,11,2vjmyyAnDUzilFYxOlTdO1
19,I Fall Apart,Post Malone,20,16,18,75ZvA4QfFiZvzhj2xkaWAh
20,Bartier Cardi,Cardi B Featuring 21 Savage,16,14,5,75FDPwaULRdYDn4StFN2rT
21,How Long,Charlie Puth,22,21,16,32DGGj6KlNuBr6WaqRxpxi
22,Shape Of You,Ed Sheeran,21,1,55,7qiZfU4dY1lWllzX7mPBI3
23,Bodak Yellow (Money Moves),Cardi B,19,1,30,2771LMNxwf62FTAdpJMQfM
24,I Get The Bag,Gucci Mane Featuring Migos,24,11,23,1XRgIKC5TPwo7nWGyKqgG0
25,Feel It Still,Portugal. The Man,23,4,32,6QgjcU0zLnzq5OrUoSZ3OK
26,Wolves,Selena Gomez X Marshmello,25,20,14,0tBbt8CrmxbjRP0pueQkyU
27,Plain Jane,A$AP Ferg,27,26,18,4dVpf9jZjcORqGTLUaeYj9
28,Believer,Imagine Dragons,26,4,51,1NtIMM4N0cFa1dNzN15chl
29,Sky Walker,Miguel Featuring Travis Scott,33,29,18,5WoaF1B5XIEnWfmb5NZikf
30,End Game,Taylor Swift Featuring Ed Sheeran & Future,18,18,10,2x0WlnmfG39ZuDmstl9xfX
31,Roll In Peace,Kodak Black Featuring XXXTENTACION,36,31,23,40oKW22ZNNkEdZLJTScaQI
32,Sorry Not Sorry,Demi Lovato,28,6,29,3Du2K5dLzmduCNp6uwuaL0
33,Filthy,Justin Timberlake,29,9,3,1L3NV7VrCiuE8C5QlhdeQL
