pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Rockstar,Post Malone Featuring 21 Savage,1,1,8,1OmcAT5Y8eg5bUPv9qJT4R
2,Havana,Camila Cabello Featuring Young Thug,2,2,13,1rfofaqEpACxVEHIZBJe6W
3,Bodak Yellow (Money Moves),Cardi B,3,1,19,2771LMNxwf62FTAdpJMQfM
4,Too Good At Goodbyes,Sam Smith,10,4,9,3VlbOrM6nYPprVvzBZllE5
5,Thunder,Imagine Dragons,5,5,28,5VnDkUNyX6u5Sk0yZiP8XB
6,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,4,3,28,5tz69p7tJuGPeMGwNTxYuV
7,Feel It Still,Portugal. The Man,6,4,21,6QgjcU0zLnzq5OrUoSZ3OK
8,Perfect,Ed Sheeran,11,8,11,0tgVpDi06FyKpA1z0VMD4v
9,What Lovers Do,Maroon 5 Featuring SZA,12,9,11,4nYsmWkuTaowTMy4gskmBw
10,Mi Gente,J Balvin & Willy William Featuring Beyonce,9,3,19,4ipnJyDU3Lq15qBAYNqlqK
11,Sorry Not Sorry,Demi Lovato,8,6,18,3Du2K5dLzmduCNp6uwuaL0
12,Gucci Gang,Lil Pump,7,7,9,43ZyHQITOjhciSUUNPVRHc
13,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,24,13,9,2Xqd0wUttjueBfdcltADOv
14,I Get The Bag,Gucci Mane Featuring Migos,15,11,12,1XRgIKC5TPwo7nWGyKqgG0
15,Bank Account,21 Savage,16,12,18,2fQrGHiQOvpL9UgPvtYy6G
16,Unforgettable,French Montana Featuring Swae Lee,17,3,31,3B54sVLJ402zGa6Xm4YGNe
17,What About Us,P!nk,22,13,14,0Qh38w01QRXK6KHIv0e3hb
18,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20,1,43,6rPO02ozF3bM7NnOV4h6s2
19,Attention,Charlie Puth,18,5,29,4iLqG9SeJSnt0cSPICSjxv
20,Bad At Love,Halsey,27,20,10,7y9iMe8SOB6z3NoHE2OfXl
21,New Rules,Dua Lipa,26,21,15,2ekn2ttSfGqwhhate0LSR0
22,Rake It Up,Yo Gotti Featuring Nicki Minaj,13,8,19,4knL4iPxPOZjQzTUlELGSY
23,MotorSport,"Migos, Nicki Minaj & Cardi B",14,14,2,1YZfcVLbbJwfizR5cDOp3q
24,Believer,Imagine Dragons,21,4,40,1NtIMM4N0cFa1dNzN15chl
25,Young Dumb & Broke,Khalid,25,25,17,5Z3GHaZ6ec9bsiI5BenrbY
26,Shape Of You,Ed Sheeran,23,1,44,7qiZfU4dY1lWllzX7mPBI3
27,Call It What You Want,Taylor Swift,-1,27,1,1GwMQaZz6Au3QLDbjbMdme
28,Praying,Kesha,31,22,18,79NlESqzFSW0hdBWgls4FX
29,I Fall Apart,Post Malone,29,28,7,75ZvA4QfFiZvzhj2xkaWAh
30,...Ready For It?,Taylor Swift,19,4,10,2yLa0QULdQr0qAIvVwN6B5
31,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,55,31,11,2eAZfqOm4EnOF9VvN50Tyc
32,Strip That Down,Liam Payne Featuring Quavo,28,10,25,4Ro98RCK90oHqqSZUnTFq5
33,There's Nothing Holdin' Me Back,Shawn Mendes,30,6,29,7JJmb5XwzOO8jgpou264Ml
34,Slow Hands,Niall Horan,32,11,28,27vTihlWXiz9f9lJM3XGVU
35,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",57,35,2,5u6vkDnOyaf8LsteDAj2ub
36,That's What I Like,Bruno Mars,33,1,43,0KKkJNfGyhkQ5aFogxQAPU
37,Look What You Made Me Do,Taylor Swift,34,1,12,1P17dC1amhFzptugyAO7Il
38,When It Rains It Pours,Luke Combs,37,33,15,1mMLMZYXkMueg65jRRWG1l
39,What Ifs,Kane Brown Featuring Lauren Alaina,36,26,22,7zVCrzzEJU7u24sbJPXA5W
40,Congratulations,Post Malone Featuring Quavo,40,8,46,3a1lNhkSLSkpJE4MSHpDu9
41,Do Re Mi,Blackbear,41,40,22,3Q3myFA7q4Op95DOpHplaY
42,Something Just Like This,The Chainsmokers & Coldplay,39,3,38,1dNIEtp7AY3oDAKCGg2XkH
43,The Weekend,SZA,44,43,15,6gU9OKjOE7ghfEd55oRO57
44,How Long,Charlie Puth,46,44,5,32DGGj6KlNuBr6WaqRxpxi
45,XO TOUR Llif3,Lil Uzi Vert,43,7,33,7GX5flRQZVHRAGd6B4TmDO
46,Humble.,Kendrick Lamar,42,1,32,7KXjTSCq5nL1LoYtL7XAwS
47,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",51,47,9,4YkwUfWSIxdKNLDXw0caFO
48,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,38,2,21,45XhKYRRkyeqoW3teSOkCM
49,Body Like A Back Road,Sam Hunt,49,6,41,7mldq42yDuxiUNn08nvzHO
50,Ric Flair Drip,Offset & Metro Boomin,71,50,2,7sO5G9EABYOXQKNPNiE9NR
