pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Rockstar,Post Malone Featuring 21 Savage,1,1,7,1OmcAT5Y8eg5bUPv9qJT4R
2,Havana,Camila Cabello Featuring Young Thug,7,2,12,1rfofaqEpACxVEHIZBJe6W
3,Bodak Yellow (Money Moves),Cardi B,2,1,18,2771LMNxwf62FTAdpJMQfM
4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,3,27,5tz69p7tJuGPeMGwNTxYuV
5,Thunder,Imagine Dragons,5,5,27,5VnDkUNyX6u5Sk0yZiP8XB
6,Feel It Still,Portugal. The Man,4,4,20,6QgjcU0zLnzq5OrUoSZ3OK
7,Gucci Gang,Lil Pump,14,7,8,43ZyHQITOjhciSUUNPVRHc
8,Sorry Not Sorry,Demi Lovato,6,6,17,3Du2K5dLzmduCNp6uwuaL0
9,Mi Gente,J Balvin & Willy William Featuring Beyonce,8,3,18,4ipnJyDU3Lq15qBAYNqlqK
10,Too Good At Goodbyes,Sam Smith,9,5,8,3VlbOrM6nYPprVvzBZllE5
11,Perfect,Ed Sheeran,10,10,10,0tgVpDi06FyKpA1z0VMD4v
12,What Lovers Do,Maroon 5 Featuring SZA,12,12,10,4nYsmWkuTaowTMy4gskmBw
13,Rake It Up,Yo Gotti Featuring Nicki Minaj,19,8,18,4knL4iPxPOZjQzTUlELGSY
14,MotorSport,"Migos, Nicki Minaj & Cardi B",-1,14,1,1YZfcVLbbJwfizR5cDOp3q
15,I Get The Bag,Gucci Mane Featuring Migos,18,11,11,1XRgIKC5TPwo7nWGyKqgG0
16,Bank Account,21 Savage,15,12,17,2fQrGHiQOvpL9UgPvtYy6G
17,Unforgettable,French Montana Featuring Swae Lee,11,3,30,3B54sVLJ402zGa6Xm4YGNe
18,Attention,Charlie Puth,16,5,28,4iLqG9SeJSnt0cSPICSjxv
19,...Ready For It?,Taylor Swift,46,4,9,2yLa0QULdQr0qAIvVwN6B5
20,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17,1,42,6rPO02ozF3bM7NnOV4h6s2
21,Believer,Imagine Dragons,20,4,39,1NtIMM4N0cFa1dNzN15chl
22,What About Us,P!nk,22,13,13,0Qh38w01QRXK6KHIv0e3hb
23,Shape Of You,Ed Sheeran,21,1,43,7qiZfU4dY1lWllzX7mPBI3
24,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,30,24,8,2Xqd0wUttjueBfdcltADOv
25,Young Dumb & Broke,Khalid,26,25,16,5Z3GHaZ6ec9bsiI5BenrbY
26,New Rules,Dua Lipa,34,26,14,2ekn2ttSfGqwhhate0LSR0
27,Bad At Love,Halsey,31,27,9,7y9iMe8SOB6z3NoHE2OfXl
28,Strip That Down,Liam Payne Featuring Quavo,23,10,24,4Ro98RCK90oHqqSZUnTFq5
29,I Fall Apart,Post Malone,28,28,6,75ZvA4QfFiZvzhj2xkaWAh
30,There's Nothing Holdin' Me Back,Shawn Mendes,27,6,28,7JJmb5XwzOO8jgpou264Ml
31,Praying,Kesha,29,22,17,79NlESqzFSW0hdBWgls4FX
32,Slow Hands,Niall Horan,24,11,27,27vTihlWXiz9f9lJM3XGVU
33,That's What I Like,Bruno Mars,32,1,42,0KKkJNfGyhkQ5aFogxQAPU
34,Look What You Made Me Do,Taylor Swift,25,1,11,1P17dC1amhFzptugyAO7Il
35,Wolves,Selena Gomez X Marshmello,88,35,2,0tBbt8CrmxbjRP0pueQkyU
36,What Ifs,Kane Brown Featuring Lauren Alaina,33,26,21,7zVCrzzEJU7u24sbJPXA5W
37,When It Rains It Pours,Luke Combs,36,33,14,1mMLMZYXkMueg65jRRWG1l
38,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,35,2,20,45XhKYRRkyeqoW3teSOkCM
39,Something Just Like This,The Chainsmokers & Coldplay,37,3,37,1dNIEtp7AY3oDAKCGg2XkH
40,Congratulations,Post Malone Featuring Quavo,39,8,45,3a1lNhkSLSkpJE4MSHpDu9
41,Do Re Mi,Blackbear,41,40,21,3Q3myFA7q4Op95DOpHplaY
42,Humble.,Kendrick Lamar,38,1,31,7KXjTSCq5nL1LoYtL7XAwS
43,XO TOUR Llif3,Lil Uzi Vert,40,7,32,7GX5flRQZVHRAGd6B4TmDO
44,The Weekend,SZA,44,44,14,6gU9OKjOE7ghfEd55oRO57
45,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45,45,19,15EPc80XuFrb2LmOzGjuRg
46,How Long,Charlie Puth,52,46,4,32DGGj6KlNuBr6WaqRxpxi
47,Love So Soft,Kelly Clarkson,57,47,8,16QN8cBubEq706vNtPpOME
48,Location,Khalid,43,16,43,152lZdxL1OR0ZMW6KquMif
49,Body Like A Back Road,Sam Hunt,42,6,40,7mldq42yDuxiUNn08nvzHO
50,Silence,Marshmello Featuring Khalid,47,42,12,7vGuf3Y35N4wmASOKLUVVU
51,Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",54,51,8,4YkwUfWSIxdKNLDXw0caFO
52,Unforgettable,Thomas Rhett,49,47,14,30MM5jWpUmOxtTNd9Ey5LZ
53,Greatest Love Story,LANCO,51,51,9,2yQZwi1P8AkkxxFhQ8rMEK
54,Plain Jane,A$AP Ferg,55,54,6,4dVpf9jZjcORqGTLUaeYj9
55,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,56,39,10,2eAZfqOm4EnOF9VvN50Tyc
56,Roll In Peace,Kodak Black Featuring XXXTENTACION,59,53,11,40oKW22ZNNkEdZLJTScaQI
57,Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",-1,57,1,5u6vkDnOyaf8LsteDAj2ub
58,Every Little Thing,Carly Pearce,58,50,14,2wxfu24GQpEZQrjDJm5Ac1
59,The Race,Tay-K,60,44,13,3wGXyJGsCf1myH5MooQIqE
60,Meant To Be,Bebe Rexha & Florida Georgia Line,61,60,2,7iDa6hUg2VgEL1o1HjmfBn
61,Let You Down,NF,75,61,3,52okn5MNA47tk87PeZJLEL
62,Light It Up,Luke Bryan,64,62,10,5w3NgfV8v1nNZFLUBlGHIL
63,Like I Loved You,Brett Young,67,63,6,3T6MAweakkNrMYs8jZIWtg
64,Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,73,64,6,5Gu0PDLN4YJeW75PpBSg9p
65,I'll Name The Dogs,Blake Shelton,70,65,8,2n5ZD87XQ2yvIxGjoYbUmZ
66,Sky Walker,Miguel Featuring Travis Scott,80,66,6,5WoaF1B5XIEnWfmb5NZikf
67,Fix A Drink,Chris Janson,69,67,10,0s6OWiWGuiCcm1Muzch5A8
68,Losing Sleep,Chris Young,63,63,6,6waqLPcT6ruMhmd36OhmFO
69,Gorgeous,Taylor Swift,13,13,2,1ZY1PqizIl78geGM4xWlEA
70,Jocelyn Flores,XXXTentacion,65,31,10,7m9OqQk4RVRkw9JJdeAw96
71,Ric Flair Drip,Offset & Metro Boomin,-1,71,1,7sO5G9EABYOXQKNPNiE9NR
72,Good Old Days,Macklemore Featuring Kesha,-1,70,2,2Za1AlJNvksouPPWbXpR2X
73,Transportin',Kodak Black,66,46,11,1WIZiOuNO3woKfdlSK2gNn
74,Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",-1,74,1,0tdCy39PgWN8LFWu34ORn3
75,Sauce It Up,Lil Uzi Vert,74,49,10,1uL78kFWxhz3umTMWJu8n5
76,Yours,Russell Dickerson ,85,76,3,6RSNKGdv3nDTHqgw4bdzyF
77,Patek Water,Future & Young Thug Featuring Offset,50,50,2,7r6LNJT2LqpLpEyZQJPygt
78,Dusk Till Dawn,Zayn Featuring Sia,72,44,8,1j4kHkkpqZRBwE0A4CN4Yv
