pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Rockstar,Post Malone Featuring 21 Savage,1,1,6,1OmcAT5Y8eg5bUPv9qJT4R
2,Bodak Yellow (Money Moves),Cardi B,2,1,17,2771LMNxwf62FTAdpJMQfM
3,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,3,26,5tz69p7tJuGPeMGwNTxYuV
4,Feel It Still,Portugal. The Man,4,4,19,6QgjcU0zLnzq5OrUoSZ3OK
5,Thunder,Imagine Dragons,5,5,26,5VnDkUNyX6u5Sk0yZiP8XB
6,Sorry Not Sorry,Demi Lovato,7,6,16,3Du2K5dLzmduCNp6uwuaL0
7,Havana,Camila Cabello Featuring Young Thug,20,7,11,1rfofaqEpACxVEHIZBJe6W
8,Mi Gente,J Balvin & Willy William Featuring Beyonce,6,3,17,4ipnJyDU3Lq15qBAYNqlqK
9,Too Good At Goodbyes,Sam Smith,8,5,7,3VlbOrM6nYPprVvzBZllE5
10,Perfect,Ed Sheeran,18,10,9,0tgVpDi06FyKpA1z0VMD4v
11,Unforgettable,French Montana Featuring Swae Lee,9,3,29,3B54sVLJ402zGa6Xm4YGNe
12,What Lovers Do,Maroon 5 Featuring SZA,19,12,9,4nYsmWkuTaowTMy4gskmBw
13,Gorgeous,Taylor Swift,-1,13,1,1ZY1PqizIl78geGM4xWlEA
14,Gucci Gang,Lil Pump,27,14,7,43ZyHQITOjhciSUUNPVRHc
15,Bank Account,21 Savage,16,12,16,2fQrGHiQOvpL9UgPvtYy6G
16,Attention,Charlie Puth,12,5,27,4iLqG9SeJSnt0cSPICSjxv
17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,15,1,41,6rPO02ozF3bM7NnOV4h6s2
18,I Get The Bag,Gucci Mane Featuring Migos,11,11,10,1XRgIKC5TPwo7nWGyKqgG0
19,Rake It Up,Yo Gotti Featuring Nicki Minaj,17,8,17,4knL4iPxPOZjQzTUlELGSY
20,Believer,Imagine Dragons,14,4,38,1NtIMM4N0cFa1dNzN15chl
21,Shape Of You,Ed Sheeran,22,1,42,7qiZfU4dY1lWllzX7mPBI3
22,What About Us,P!nk,13,13,12,0Qh38w01QRXK6KHIv0e3hb
23,Strip That Down,Liam Payne Featuring Quavo,21,10,23,4Ro98RCK90oHqqSZUnTFq5
24,Slow Hands,Niall Horan,24,11,26,27vTihlWXiz9f9lJM3XGVU
25,Look What You Made Me Do,Taylor Swift,10,1,10,1P17dC1amhFzptugyAO7Il
26,Young Dumb & Broke,Khalid,25,25,15,5Z3GHaZ6ec9bsiI5BenrbY
27,There's Nothing Holdin' Me Back,Shawn Mendes,23,6,27,7JJmb5XwzOO8jgpou264Ml
28,I Fall Apart,Post Malone,29,28,5,75ZvA4QfFiZvzhj2xkaWAh
29,Praying,Kesha,28,22,16,79NlESqzFSW0hdBWgls4FX
30,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,42,30,7,2Xqd0wUttjueBfdcltADOv
31,Bad At Love,Halsey,32,31,8,7y9iMe8SOB6z3NoHE2OfXl
32,That's What I Like,Bruno Mars,30,1,41,0KKkJNfGyhkQ5aFogxQAPU
33,What Ifs,Kane Brown Featuring Lauren Alaina,26,26,20,7zVCrzzEJU7u24sbJPXA5W
34,New Rules,Dua Lipa,38,34,13,2ekn2ttSfGqwhhate0LSR0
35,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,31,2,19,45XhKYRRkyeqoW3teSOkCM
36,When It Rains It Pours,Luke Combs,33,33,13,1mMLMZYXkMueg65jRRWG1l
37,Something Just Like This,The Chainsmokers & Coldplay,37,3,36,1dNIEtp7AY3oDAKCGg2XkH
38,Humble.,Kendrick Lamar,35,1,30,7KXjTSCq5nL1LoYtL7XAwS
39,Congratulations,Post Malone Featuring Quavo,34,8,44,3a1lNhkSLSkpJE4MSHpDu9
40,XO TOUR Llif3,Lil Uzi Vert,36,7,31,7GX5flRQZVHRAGd6B4TmDO
41,Do Re Mi,Blackbear,40,40,20,3Q3myFA7q4Op95DOpHplaY
42,Body Like A Back Road,Sam Hunt,39,6,39,7mldq42yDuxiUNn08nvzHO
43,Location,Khalid,43,16,42,152lZdxL1OR0ZMW6KquMif
44,The Weekend,SZA,45,44,13,6gU9OKjOE7ghfEd55oRO57
45,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,47,45,18,15EPc80XuFrb2LmOzGjuRg
46,...Ready For It?,Taylor Swift,52,4,8,2yLa0QULdQr0qAIvVwN6B5
47,Silence,Marshmello Featuring Khalid,44,42,11,7vGuf3Y35N4wmASOKLUVVU
48,Love Galore,SZA Featuring Travis Scott,41,32,20,0q75NwOoFiARAVp4EXU4Bs
49,Unforgettable,Thomas Rhett,48,47,13,30MM5jWpUmOxtTNd9Ey5LZ
50,Patek Water,Future & Young Thug Featuring Offset,-1,50,1,7r6LNJT2LqpLpEyZQJPygt
51,Greatest Love Story,LANCO,54,51,8,2yQZwi1P8AkkxxFhQ8rMEK
52,How Long,Charlie Puth,60,52,3,32DGGj6KlNuBr6WaqRxpxi
53,Butterfly Effect,Travis Scott,51,51,22,1yxgsra98r3qAtxqiGZPiX
