pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,1,25,6rPO02ozF3bM7NnOV4h6s2
2,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2,1,10,1jYiIOC5d6soxkJP81fxq2
3,That's What I Like,Bruno Mars,4,1,25,0KKkJNfGyhkQ5aFogxQAPU
4,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,3,3,3,45XhKYRRkyeqoW3teSOkCM
5,Shape Of You,Ed Sheeran,5,1,26,7qiZfU4dY1lWllzX7mPBI3
6,Humble.,Kendrick Lamar,7,1,14,7KXjTSCq5nL1LoYtL7XAwS
7,Believer,Imagine Dragons,6,6,22,1NtIMM4N0cFa1dNzN15chl
8,Body Like A Back Road,Sam Hunt,12,6,23,7mldq42yDuxiUNn08nvzHO
9,Congratulations,Post Malone Featuring Quavo,8,8,28,3a1lNhkSLSkpJE4MSHpDu9
10,Unforgettable,French Montana Featuring Swae Lee,13,10,13,3B54sVLJ402zGa6Xm4YGNe
11,Stay,Zedd & Alessia Cara,11,7,19,6uBhi9gBXWjanegOb2Phh0
12,Mask Off,Future,9,5,20,0VgkVdmE4gld66l8iyGjgx
13,Something Just Like This,The Chainsmokers & Coldplay,10,3,20,1dNIEtp7AY3oDAKCGg2XkH
14,There's Nothing Holdin' Me Back,Shawn Mendes,18,14,11,7JJmb5XwzOO8jgpou264Ml
15,Attention,Charlie Puth,23,15,11,4iLqG9SeJSnt0cSPICSjxv
16,Redbone,Childish Gambino,14,14,31,3kxfsdsCpFgN412fpnW85Y
17,XO TOUR Llif3,Lil Uzi Vert,15,7,15,7GX5flRQZVHRAGd6B4TmDO
18,Now Or Never,Halsey,19,18,13,7i2DJ88J7jQ8K7zqFX2fW8
19,Issues,Julia Michaels,16,11,24,7vu0JkJh0ldukEYbTVcqd0
20,Say You Won't Let Go,James Arthur,17,11,37,5uCax9HTNlzGybIStD3vDh
21,It Ain't Me,Kygo x Selena Gomez,20,10,21,12GEpg2XOPyqk03JZEZnJs
22,Slow Hands,Niall Horan,21,21,10,27vTihlWXiz9f9lJM3XGVU
23,Castle On The Hill,Ed Sheeran,22,6,26,6PCUP3dWmTjcTtXY02oFdT
24,Location,Khalid,26,16,26,152lZdxL1OR0ZMW6KquMif
25,Bad Liar,Selena Gomez,24,20,8,2fZQIJew3nkNe99s2PKzul
26,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",57,26,3,5bcTCxgc7xVfSaMV3RuVke
27,2U,David Guetta Featuring Justin Bieber,27,16,4,762UXiwEHYY97VL45sAUPR
28,Strip That Down,Liam Payne Featuring Quavo,33,28,7,4Ro98RCK90oHqqSZUnTFq5
29,Slippery,Migos Featuring Gucci Mane,31,29,15,6p8NuHm8uCGnn2Dtbtf7zE
30,Magnolia,Playboi Carti,30,29,10,1e1JKLEDKP7hEQzJfNAgPl
31,Malibu,Miley Cyrus,25,10,9,2habSXqcJGExM6JJyskY7O
32,Slide, Calvin Harris Featuring Frank Ocean & Migos,55,25,19,6gpcs5eMhJwax4mIfKDYQk
33,Rolex,Ayo & Teo ,29,20,21,0pSBuHjILhNEo55xK1zrRt
34,iSpy,KYLE Featuring Lil Yachty,28,4,28,2EEeOnHehOozLq4aS0n6SL
35,Everyday We Lit,YFN Lucci Featuring PnB Rock,37,35,13,4PzovBqgnSHKd8opsP7IVM
36,Closer,The Chainsmokers Featuring Halsey,34,1,49,7BKLCZ1jbUBVqRi2FVlTVw
37,In Case You Didn't Know,Brett Young,32,19,22,10M2Ex445zw585Ducldzkw
38,Bad And Boujee,Migos Featuring Lil Uzi Vert,35,1,34,4Km5HrUvYTaSUfiSGPJeQR
39,Craving You, Thomas Rhett Featuring Maren Morris,44,39,14,2d48mamATjby7wgPjdrSOQ
40,24K Magic,Bruno Mars,40,4,39,6b8Be6ljOzmkOmFslEb23P
41,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,39,39,14,1f5cbQtDrykjarZVrShaDI
42,DNA.,Kendrick Lamar,41,4,12,6HZILIRieu8S0iqY8kIKhj
43,My Girl,Dylan Scott,45,43,11,3izNaTiYdotdPL0Bs76JqO
44,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,38,29,16,6kex4EBAj0WHXDKZMEJaaF
45,The Fighter,Keith Urban Featuring Carrie Underwood,47,38,22,5OUSPcqhYTOzpbXzoEvKim
46,Hurricane,Luke Combs,43,31,21,6xHI9KjUjYT0FPtGO8Mxa1
47,Goosebumps,Travis Scott,42,32,34,6gBFPUFcJLzWGx4lenP6h2
48,T-Shirt,Migos,49,19,25,7KOlJ92bu51cltsD9KU5I7
49,First Day Out,Tee Grizzley,48,48,14,3muBQDekYAg7jm6hDu6R0Z
50,The Cure,Lady Gaga,46,39,12,34oB5r0lcN3fYWCs2uA1k5
51,Passionfruit,Drake,52,8,16,5mCPDVBb16L4XQwDdbRUpz
52,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,53,46,15,4VFE6ZNqa8jHAmbYICoAFg
53,Crying In The Club,Camila Cabello,50,47,7,1SJtlNRJDeYHioymcvsqev
54,Signs,Drake,36,36,2,6Na5uKk5SsqZimk0hAWo8y
55,Tunnel Vision,Kodak Black,51,6,20,4Q3N4Ct4zCuIHuZ65E3BD4
56,Versace On The Floor,Bruno Mars,78,56,4,0kN8xEmgMW9mh7UmDYHlJP
57,Every Time I Hear That Song,Blake Shelton,56,56,9,0c4ICGb0jvszKj3KPR59JU
58,Drinkin' Problem,Midland,61,58,9,1vBpwxsLVwaR4evBIaFmqD
59,Thunder,Imagine Dragons,54,54,10,5VnDkUNyX6u5Sk0yZiP8XB
