pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Bodak Yellow (Money Moves),Cardi B,2,1,12,2771LMNxwf62FTAdpJMQfM
2,Rockstar,Post Malone Featuring 21 Savage,-1,2,1,1OmcAT5Y8eg5bUPv9qJT4R
3,Look What You Made Me Do,Taylor Swift,1,1,5,1P17dC1amhFzptugyAO7Il
4,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,3,21,5tz69p7tJuGPeMGwNTxYuV
5,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,4,1,36,6rPO02ozF3bM7NnOV4h6s2
6,Unforgettable,French Montana Featuring Swae Lee,7,3,24,3B54sVLJ402zGa6Xm4YGNe
7,Believer,Imagine Dragons,9,4,33,1NtIMM4N0cFa1dNzN15chl
8,Rake It Up,Yo Gotti Featuring Nicki Minaj,16,8,12,4knL4iPxPOZjQzTUlELGSY
9,Attention,Charlie Puth,8,5,22,4iLqG9SeJSnt0cSPICSjxv
10,Feel It Still,Portugal. The Man,14,10,14,6QgjcU0zLnzq5OrUoSZ3OK
11,Slow Hands,Niall Horan,11,11,21,27vTihlWXiz9f9lJM3XGVU
12,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6,2,14,45XhKYRRkyeqoW3teSOkCM
13,Strip That Down,Liam Payne Featuring Quavo,12,10,18,4Ro98RCK90oHqqSZUnTFq5
14,There's Nothing Holdin' Me Back,Shawn Mendes,10,6,22,7JJmb5XwzOO8jgpou264Ml
15,Sorry Not Sorry,Demi Lovato,13,13,11,3Du2K5dLzmduCNp6uwuaL0
16,Too Good At Goodbyes,Sam Smith,5,5,2,3VlbOrM6nYPprVvzBZllE5
17,Bank Account,21 Savage,15,12,11,2fQrGHiQOvpL9UgPvtYy6G
18,Shape Of You,Ed Sheeran,17,1,37,7qiZfU4dY1lWllzX7mPBI3
19,Mi Gente,J Balvin & Willy William Featuring Beyonce,19,19,12,4ipnJyDU3Lq15qBAYNqlqK
20,That's What I Like,Bruno Mars,18,1,36,0KKkJNfGyhkQ5aFogxQAPU
21,XO TOUR Llif3,Lil Uzi Vert,20,7,26,7GX5flRQZVHRAGd6B4TmDO
22,I Get The Bag,Gucci Mane Featuring Migos,24,22,5,1XRgIKC5TPwo7nWGyKqgG0
23,What Lovers Do,Maroon 5 Featuring SZA,29,23,4,4nYsmWkuTaowTMy4gskmBw
24,Body Like A Back Road,Sam Hunt,22,6,34,7mldq42yDuxiUNn08nvzHO
25,Humble.,Kendrick Lamar,23,1,25,7KXjTSCq5nL1LoYtL7XAwS
26,What About Us,P!nk,30,26,7,0Qh38w01QRXK6KHIv0e3hb
27,Young Dumb & Broke,Khalid,26,26,10,5Z3GHaZ6ec9bsiI5BenrbY
28,Praying,Kesha,25,22,11,79NlESqzFSW0hdBWgls4FX
29,Something Just Like This,The Chainsmokers & Coldplay,27,3,31,1dNIEtp7AY3oDAKCGg2XkH
30,Thunder,Imagine Dragons,40,30,21,5VnDkUNyX6u5Sk0yZiP8XB
31,Location,Khalid,28,16,37,152lZdxL1OR0ZMW6KquMif
32,What Ifs,Kane Brown Featuring Lauren Alaina,32,32,15,7zVCrzzEJU7u24sbJPXA5W
33,Love Galore,SZA Featuring Travis Scott,36,33,15,0q75NwOoFiARAVp4EXU4Bs
34,...Ready For It?,Taylor Swift,21,4,3,2yLa0QULdQr0qAIvVwN6B5
35,Friends,Justin Bieber + BloodPop,34,20,5,7iNIg7XDEaYECfWD5dJ9Va
36,Congratulations,Post Malone Featuring Quavo,33,8,39,3a1lNhkSLSkpJE4MSHpDu9
37,Say You Won't Let Go,James Arthur,43,11,48,5uCax9HTNlzGybIStD3vDh
38,Redbone,Childish Gambino,31,12,42,3kxfsdsCpFgN412fpnW85Y
39,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",35,1,21,1jYiIOC5d6soxkJP81fxq2
40,Small Town Boy,Dustin Lynch,38,36,16,2YMhrXQYKkm4kXLcXKKd5z
41,Loyalty.,Kendrick Lamar Featuring Rihanna,39,14,23,6SwRhMLwNqEi6alNPVG00n
42,Stay,Zedd & Alessia Cara,41,7,30,6uBhi9gBXWjanegOb2Phh0
43,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",37,20,14,5bcTCxgc7xVfSaMV3RuVke
44,When It Rains It Pours,Luke Combs,49,44,8,1mMLMZYXkMueg65jRRWG1l
45,No Promises,Cheat Codes Featuring Demi Lovato,45,39,19,5lNuqFVMca4vPupY10cH0J
46,Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,51,46,13,15EPc80XuFrb2LmOzGjuRg
47,Heartache On The Dance Floor,Jon Pardi,52,47,12,0w3Q14i073jLoew1hgJkwD
48,Mask Off,Future,46,5,31,0VgkVdmE4gld66l8iyGjgx
49,Unforgettable,Thomas Rhett,47,47,8,30MM5jWpUmOxtTNd9Ey5LZ
50,Jocelyn Flores,XXXTentacion,42,31,4,7m9OqQk4RVRkw9JJdeAw96
51,Do Re Mi,Blackbear,50,50,15,3Q3myFA7q4Op95DOpHplaY
52,The Weekend,SZA,54,52,8,6gU9OKjOE7ghfEd55oRO57
53,New Rules,Dua Lipa,56,53,8,2ekn2ttSfGqwhhate0LSR0
54,The Race,Tay-K ,48,44,7,3wGXyJGsCf1myH5MooQIqE
55,Transportin',Kodak Black,58,46,5,1WIZiOuNO3woKfdlSK2gNn
56,Silence,Marshmello Featuring Khalid,59,42,6,7vGuf3Y35N4wmASOKLUVVU
57,Butterfly Effect,Travis Scott,61,55,17,1yxgsra98r3qAtxqiGZPiX
58,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,55,39,4,2eAZfqOm4EnOF9VvN50Tyc
59,Roll In Peace,Kodak Black Featuring XXXTENTACION,53,53,5,40oKW22ZNNkEdZLJTScaQI
60,It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",60,44,15,6H0AwSQ20mo62jGlPGB8S6
61,Bad At Love,Halsey,71,61,3,7y9iMe8SOB6z3NoHE2OfXl
62,Glorious,Macklemore Featuring Skylar Grey,65,62,11,0CokSRCu5hZgPxcZBaEzVE
63,Dusk Till Dawn,Zayn Featuring Sia,44,44,2,1j4kHkkpqZRBwE0A4CN4Yv
64,Havana,Camila Cabello Featuring Young Thug,64,64,6,1rfofaqEpACxVEHIZBJe6W
65,F**k Love,XXXTentacion Featuring Trippie Redd,57,41,4,
66,Too Much To Ask,Niall Horan,-1,66,1,39jXnbACjiaiTwwhsr5sY5
67,Curve,Gucci Mane Featuring The Weeknd,-1,67,1,2yuyaYAELoMG4ApV5wJsWR
68,All The Pretty Girls,Kenny Chesney,66,66,8,66pxmg3Jhjm09tHoWR1wVR
69,Sauce It Up,Lil Uzi Vert,67,49,4,1uL78kFWxhz3umTMWJu8n5
70,Escapate Conmigo,Wisin Featuring Ozuna,75,63,15,1KSqYYJFyfTecXFk9M0prc
71,Gucci Gang,Lil Pump,81,71,2,43ZyHQITOjhciSUUNPVRHc
