pos,title,artist,last_pos,peak_pos,streak,spotify_id
1,Look What You Made Me Do,Taylor Swift,1,1,3,1P17dC1amhFzptugyAO7Il
2,Bodak Yellow (Money Moves),Cardi B,3,2,10,2771LMNxwf62FTAdpJMQfM
3,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2,1,34,6rPO02ozF3bM7NnOV4h6s2
4,...Ready For It?,Taylor Swift,-1,4,1,2yLa0QULdQr0qAIvVwN6B5
5,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,9,5,19,5tz69p7tJuGPeMGwNTxYuV
6,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4,2,12,45XhKYRRkyeqoW3teSOkCM
7,Attention,Charlie Puth,5,5,20,4iLqG9SeJSnt0cSPICSjxv
8,Believer,Imagine Dragons,6,4,31,1NtIMM4N0cFa1dNzN15chl
9,Unforgettable,French Montana Featuring Swae Lee,7,3,22,3B54sVLJ402zGa6Xm4YGNe
10,There's Nothing Holdin' Me Back,Shawn Mendes,8,6,20,7JJmb5XwzOO8jgpou264Ml
11,Rake It Up,Yo Gotti Featuring Nicki Minaj,13,10,10,4knL4iPxPOZjQzTUlELGSY
12,Bank Account,21 Savage,12,12,9,2fQrGHiQOvpL9UgPvtYy6G
13,Sorry Not Sorry,Demi Lovato,18,13,9,3Du2K5dLzmduCNp6uwuaL0
14,Strip That Down,Liam Payne Featuring Quavo,10,10,16,4Ro98RCK90oHqqSZUnTFq5
15,Slow Hands,Niall Horan,15,14,19,27vTihlWXiz9f9lJM3XGVU
16,Shape Of You,Ed Sheeran,11,1,35,7qiZfU4dY1lWllzX7mPBI3
17,That's What I Like,Bruno Mars,17,1,34,0KKkJNfGyhkQ5aFogxQAPU
18,Feel It Still,Portugal. The Man,20,18,12,6QgjcU0zLnzq5OrUoSZ3OK
19,XO TOUR Llif3,Lil Uzi Vert,16,7,24,7GX5flRQZVHRAGd6B4TmDO
20,Body Like A Back Road,Sam Hunt,19,6,32,7mldq42yDuxiUNn08nvzHO
21,Humble.,Kendrick Lamar,14,1,23,7KXjTSCq5nL1LoYtL7XAwS
22,Mi Gente,J Balvin & Willy William Featuring Beyonce,23,21,10,4ipnJyDU3Lq15qBAYNqlqK
23,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",22,20,12,5bcTCxgc7xVfSaMV3RuVke
24,Congratulations,Post Malone Featuring Quavo,21,8,37,3a1lNhkSLSkpJE4MSHpDu9
25,Something Just Like This,The Chainsmokers & Coldplay,26,3,29,1dNIEtp7AY3oDAKCGg2XkH
26,Praying,Kesha,27,22,9,79NlESqzFSW0hdBWgls4FX
27,What Lovers Do,Maroon 5 Featuring SZA,73,27,2,4nYsmWkuTaowTMy4gskmBw
28,Redbone,Childish Gambino,25,12,40,3kxfsdsCpFgN412fpnW85Y
29,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",24,1,19,1jYiIOC5d6soxkJP81fxq2
30,Location,Khalid,29,16,35,152lZdxL1OR0ZMW6KquMif
31,I Get The Bag,Gucci Mane Featuring Migos,42,31,3,1XRgIKC5TPwo7nWGyKqgG0
32,What About Us,P!nk,28,28,5,0Qh38w01QRXK6KHIv0e3hb
33,Young Dumb & Broke,Khalid,32,32,8,5Z3GHaZ6ec9bsiI5BenrbY
34,Stay,Zedd & Alessia Cara,30,7,28,6uBhi9gBXWjanegOb2Phh0
35,Friends,Justin Bieber + BloodPop,33,20,3,7iNIg7XDEaYECfWD5dJ9Va
36,Loyalty.,Kendrick Lamar Featuring Rihanna,35,14,21,6SwRhMLwNqEi6alNPVG00n
37,Love Galore,SZA Featuring Travis Scott,36,33,13,0q75NwOoFiARAVp4EXU4Bs
38,Jocelyn Flores,XXXTentacion,31,31,2,7m9OqQk4RVRkw9JJdeAw96
39,Say You Won't Let Go,James Arthur,34,11,46,5uCax9HTNlzGybIStD3vDh
40,What Ifs,Kane Brown Featuring Lauren Alaina,40,38,13,7zVCrzzEJU7u24sbJPXA5W
41,Small Town Boy,Dustin Lynch,38,36,14,2YMhrXQYKkm4kXLcXKKd5z
