title,artist,query,spotify_id
God's Plan,Drake,artist:drake track:god's plan,2XW4DbS6NddZxRPm5rMCeY
Perfect,Ed Sheeran,artist:ed track:perfect,0tgVpDi06FyKpA1z0VMD4v
Havana,Camila Cabello Featuring Young Thug,artist:camila track:havana,1rfofaqEpACxVEHIZBJe6W
Rockstar,Post Malone Featuring 21 Savage,artist:post track:rockstar,1OmcAT5Y8eg5bUPv9qJT4R
Finesse,Bruno Mars & Cardi B,artist:bruno track:finesse,3Vo4wInECJQuz9BIBMOu8i
Bad At Love,Halsey,artist:halsey track:bad at love,7y9iMe8SOB6z3NoHE2OfXl
Diplomatic Immunity,Drake,artist:drake track:diplomatic immunity,5goGDc74vVREyN8al8CkPh
New Rules,Dua Lipa,artist:dua track:new rules,2ekn2ttSfGqwhhate0LSR0
Thunder,Imagine Dragons,artist:imagine track:thunder,5VnDkUNyX6u5Sk0yZiP8XB
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,artist:g-eazy track:no limit,2Xqd0wUttjueBfdcltADOv
MotorSport,"Migos, Nicki Minaj & Cardi B","artist:migos, track:motorsport",1YZfcVLbbJwfizR5cDOp3q
Meant To Be,Bebe Rexha & Florida Georgia Line,artist:bebe track:meant to be,7iDa6hUg2VgEL1o1HjmfBn
Too Good At Goodbyes,Sam Smith,artist:sam track:too good at goodbyes,3VlbOrM6nYPprVvzBZllE5
Let You Down,NF,artist:nf track:let you down,52okn5MNA47tk87PeZJLEL
Love.,Kendrick Lamar Featuring Zacari,artist:kendrick track:love.,6PGoSes0D9eUDeeAafB2As
Him & I,G-Eazy & Halsey,artist:g-eazy track:him & i,3YU6vJbjYUG0tiJyXf9x5V
Gucci Gang,Lil Pump,artist:lil track:gucci gang,43ZyHQITOjhciSUUNPVRHc
Gummo,6ix9ine,artist:6ix9ine track:gummo,2vjmyyAnDUzilFYxOlTdO1
I Fall Apart,Post Malone,artist:post track:i fall apart,75ZvA4QfFiZvzhj2xkaWAh
Bartier Cardi,Cardi B Featuring 21 Savage,artist:cardi track:bartier cardi,75FDPwaULRdYDn4StFN2rT
How Long,Charlie Puth,artist:charlie track:how long,32DGGj6KlNuBr6WaqRxpxi
Shape Of You,Ed Sheeran,artist:ed track:shape of you,7qiZfU4dY1lWllzX7mPBI3
Bodak Yellow (Money Moves),Cardi B,artist:cardi track:bodak yellow ,2771LMNxwf62FTAdpJMQfM
I Get The Bag,Gucci Mane Featuring Migos,artist:gucci track:i get the bag,1XRgIKC5TPwo7nWGyKqgG0
Feel It Still,Portugal. The Man,artist:portugal. track:feel it still,6QgjcU0zLnzq5OrUoSZ3OK
Wolves,Selena Gomez X Marshmello,artist:selena track:wolves,0tBbt8CrmxbjRP0pueQkyU
Plain Jane,A$AP Ferg,artist:a$ap track:plain jane,4dVpf9jZjcORqGTLUaeYj9
Believer,Imagine Dragons,artist:imagine track:believer,1NtIMM4N0cFa1dNzN15chl
Sky Walker,Miguel Featuring Travis Scott,artist:miguel track:sky walker,5WoaF1B5XIEnWfmb5NZikf
End Game,Taylor Swift Featuring Ed Sheeran & Future,artist:taylor track:end game,2x0WlnmfG39ZuDmstl9xfX
Roll In Peace,Kodak Black Featuring XXXTENTACION,artist:kodak track:roll in peace,40oKW22ZNNkEdZLJTScaQI
Sorry Not Sorry,Demi Lovato,artist:demi track:sorry not sorry,3Du2K5dLzmduCNp6uwuaL0
Filthy,Justin Timberlake,artist:justin track:filthy,1L3NV7VrCiuE8C5QlhdeQL
River,Eminem Featuring Ed Sheeran,artist:eminem track:river,1cS0TgbR263ey9jn0MwD2s
Young Dumb & Broke,Khalid,artist:khalid track:young dumb & broke,5Z3GHaZ6ec9bsiI5BenrbY
Marry Me,Thomas Rhett,artist:thomas track:marry me,0OWZFobGSIW9GrSlQ9C5pc
Never Be The Same,Camila Cabello,artist:camila track:never be the same,6VpQdig9pdpTSIFItgkJV5
Lights Down Low,MAX Featuring gnash,artist:max track:lights down low,5A6BJLZArq1MPjsnmcuk5f
Ric Flair Drip,Offset & Metro Boomin,artist:offset track:ric flair drip,7sO5G9EABYOXQKNPNiE9NR
Lemon,N*E*R*D & Rihanna,artist:nerd track:lemon,2LKlHBPHxLG5ArAXfF148n
What Lovers Do,Maroon 5 Featuring SZA,artist:maroon track:what lovers do,4nYsmWkuTaowTMy4gskmBw
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,artist:lil track:the way life goes,2eAZfqOm4EnOF9VvN50Tyc
Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie","artist:6ix9ine, track:keke",0zl3PdjIl320fK0pxBGWNR
Mi Gente,J Balvin & Willy William Featuring Beyonce,artist:j track:mi gente,4ipnJyDU3Lq15qBAYNqlqK
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,artist:hailee track:let me go,5Gu0PDLN4YJeW75PpBSg9p
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,artist:logic track:1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV
Bank Account,21 Savage,artist:21 track:bank account,2fQrGHiQOvpL9UgPvtYy6G
Attention,Charlie Puth,artist:charlie track:attention,4iLqG9SeJSnt0cSPICSjxv
Yours,Russell Dickerson,artist:russell track:yours,6RSNKGdv3nDTHqgw4bdzyF
Unforgettable,French Montana Featuring Swae Lee,artist:french track:unforgettable,3B54sVLJ402zGa6Xm4YGNe
Outside Today,YoungBoy Never Broke Again,artist:youngboy track:outside today,5Qx9hngUBr30JFrNua7yp4
Stir Fry,Migos,artist:migos track:stir fry,4fndbjoz1qJyK6JcLdKfzm
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",artist:chris track:pills and automobiles,4YkwUfWSIxdKNLDXw0caFO
All The Stars,Kendrick Lamar & SZA,artist:kendrick track:all the stars,66kQ7wr4d2LwwSjr7HXcyr
Good Old Days,Macklemore Featuring Kesha,artist:macklemore track:good old days,2Za1AlJNvksouPPWbXpR2X
Mine,Bazzi,artist:bazzi track:mine,6tHWl8ows5JOZq9Yfaqn3M
Nowadays,Lil Skies Featuring Landon Cube,artist:lil track:nowadays,689uBlyIufk2LUhAwjny4w
Pick It Up,Famous Dex Featuring A$AP Rocky,artist:famous track:pick it up,3ncgNpxLoBQ65ABk4djDyd
Greatest Love Story,LANCO,artist:lanco track:greatest love story,2yQZwi1P8AkkxxFhQ8rMEK
Written In The Sand,Old Dominion,artist:old track:written in the sand,2A69wys3S9uiPSmn6UZWJn
No Smoke,YoungBoy Never Broke Again,artist:youngboy track:no smoke,57IRaiAB4hBZu3gnNVZC0v
Losing Sleep,Chris Young,artist:chris track:losing sleep,6waqLPcT6ruMhmd36OhmFO
Like I Loved You,Brett Young,artist:brett track:like i loved you,3T6MAweakkNrMYs8jZIWtg
Five More Minutes,Scotty McCreery,artist:scotty track:five more minutes,66IULVOTImQG2u0cJ3Ls04
Sick Boy,The Chainsmokers,artist:the track:sick boy,7jqDzXJS0K0Re8uphYNit0
This Is Me,Keala Settle & The Greatest Showman Ensemble,artist:keala track:this is me,45aBsnKRWUzhwbcqOJLwfe
Heaven,Kane Brown,artist:kane track:heaven,1HXy5I3HTWq8OvxCn0z7G7
Echame La Culpa,Luis Fonsi & Demi Lovato,artist:luis track:echame la culpa,2hl6q70unbviGo3g1R7uFx
Rubbin Off The Paint,YBN Nahmir,artist:ybn track:rubbin off the paint,0taOCiup4HNG9LmbduVlJj
You Broke Up With Me,Walker Hayes,artist:walker track:you broke up with me,6UsoV6X96Rox9mfxoz7SFy
Supplies,Justin Timberlake,artist:justin track:supplies,6jT85s2dZ55HBqjXYi2rfI
Codeine Dreaming,Kodak Black Featuring Lil Wayne,artist:kodak track:codeine dreaming,4DTpngLjoHj5gFxEZFeD3J
Betrayed,Lil Xan,artist:lil track:betrayed,6NWl2m8asvH83xjuXVNsuG
Red Roses,Lil Skies Featuring Landon Cube,artist:lil track:red roses,5IKOXYnhzrLxqhlI0btiaa
One Foot,WALK THE MOON,artist:walk track:one foot,3yWsWi2PAo9s6elIhnywIS
La Modelo,Ozuna x Cardi B,artist:ozuna track:la modelo,2m2ZGfJcs3lHWNPzhWH3XH
Rewrite The Stars,Zac Efron & Zendaya,artist:zac track:rewrite the stars,65fpYBrI8o2cfrwf2US4gq
Candy Paint,Post Malone,artist:post track:candy paint,42CeaId2XNlxugDvyqHfDf
Tell Me You Love Me,Demi Lovato,artist:demi track:tell me you love me,2dIPe4XdBLUsTZGqPIuKXb
Round Here Buzz,Eric Church,artist:eric track:round here buzz,52ioLaTnO2J7BWY8UN2n9D
All On Me,Devin Dawson,artist:devin track:all on me,2Nc8Imt04W3ZmcBF8dPQKc
No Name,NF,artist:nf track:no name,7hdw5gAGMyyn9z0XgfTv1j
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",artist:jay track:king's dead,51rXHuKN8Loc4sUlKPODgH
MIC Drop,BTS Featuring Desiigner,artist:bts track:mic drop,7Ed6BkggCS2KaKY5YlINaF
Broken Halos,Chris Stapleton,artist:chris track:broken halos,06gD2ZtK3Dzc1BYqWExQJJ
Kooda,6ix9ine,artist:6ix9ine track:kooda,5NT0aZqWImC9fTzkW4z48o
Legends,Kelsea Ballerini,artist:kelsea track:legends,1J0Zt2Sa9J9BRarqXnP5Uz
Wait,Maroon 5,artist:maroon track:wait,4lUnFLtn8w3W76FiYDRzmO
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",artist:sofi track:best friend,1Cicn7ce1xoVlq8gthE2eX
Ice Tray,Quavo & Lil Yachty,artist:quavo track:ice tray,3wdfLVUhmX64lIyWIIEW8s
Beautiful Trauma,P!nk,artist:p!nk track:beautiful trauma,2DlIwu1iDTILEMXA7MUotn
IDGAF,Dua Lipa,artist:dua track:idgaf,1ny60YCHhEsxsJXWLhK7b0
Corazon,Maluma X Nego do Borel,artist:maluma track:corazon,4lESS6vuruP6a79KWRaQou
Mayores,Becky G Featuring Bad Bunny,artist:becky track:mayores,7JNh1cfm0eXjqFVOzKLyau
