title,artist,query,spotify_id
God's Plan,Drake,artist:drake track:god's plan,
Perfect,Ed Sheeran,artist:ed track:perfect,
Havana,Camila Cabello Featuring Young Thug,artist:camila track:havana,
Rockstar,Post Malone Featuring 21 Savage,artist:post track:rockstar,
Finesse,Bruno Mars & Cardi B,artist:bruno track:finesse,
Bad At Love,Halsey,artist:halsey track:bad at love,
Diplomatic Immunity,Drake,artist:drake track:diplomatic immunity,
New Rules,Dua Lipa,artist:dua track:new rules,
Thunder,Imagine Dragons,artist:imagine track:thunder,
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,artist:g-eazy track:no limit,
MotorSport,"Migos, Nicki Minaj & Cardi B","artist:migos, track:motorsport",
Meant To Be,Bebe Rexha & Florida Georgia Line,artist:bebe track:meant to be,
Too Good At Goodbyes,Sam Smith,artist:sam track:too good at goodbyes,
Let You Down,NF,artist:nf track:let you down,
Love.,Kendrick Lamar Featuring Zacari,artist:kendrick track:love.,
Him & I,G-Eazy & Halsey,artist:g-eazy track:him & i,
Gucci Gang,Lil Pump,artist:lil track:gucci gang,
Gummo,6ix9ine,artist:6ix9ine track:gummo,
I Fall Apart,Post Malone,artist:post track:i fall apart,
Bartier Cardi,Cardi B Featuring 21 Savage,artist:cardi track:bartier cardi,
How Long,Charlie Puth,artist:charlie track:how long,
Shape Of You,Ed Sheeran,artist:ed track:shape of you,
Bodak Yellow (Money Moves),Cardi B,artist:cardi track:bodak yellow ,
I Get The Bag,Gucci Mane Featuring Migos,artist:gucci track:i get the bag,
Feel It Still,Portugal. The Man,artist:portugal. track:feel it still,
Wolves,Selena Gomez X Marshmello,artist:selena track:wolves,
Plain Jane,A$AP Ferg,artist:a$ap track:plain jane,
Believer,Imagine Dragons,artist:imagine track:believer,
Sky Walker,Miguel Featuring Travis Scott,artist:miguel track:sky walker,
End Game,Taylor Swift Featuring Ed Sheeran & Future,artist:taylor track:end game,
Roll In Peace,Kodak Black Featuring XXXTENTACION,artist:kodak track:roll in peace,
Sorry Not Sorry,Demi Lovato,artist:demi track:sorry not sorry,
Filthy,Justin Timberlake,artist:justin track:filthy,
River,Eminem Featuring Ed Sheeran,artist:eminem track:river,
Young Dumb & Broke,Khalid,artist:khalid track:young dumb & broke,
Marry Me,Thomas Rhett,artist:thomas track:marry me,
Never Be The Same,Camila Cabello,artist:camila track:never be the same,
Lights Down Low,MAX Featuring gnash,artist:max track:lights down low,
Ric Flair Drip,Offset & Metro Boomin,artist:offset track:ric flair drip,
Lemon,N*E*R*D & Rihanna,artist:nerd track:lemon,
What Lovers Do,Maroon 5 Featuring SZA,artist:maroon track:what lovers do,
The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,artist:lil track:the way life goes,
Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie","artist:6ix9ine, track:keke",
Mi Gente,J Balvin & Willy William Featuring Beyonce,artist:j track:mi gente,
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,artist:hailee track:let me go,
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,artist:logic track:1-800-273-8255,
Bank Account,21 Savage,artist:21 track:bank account,
Attention,Charlie Puth,artist:charlie track:attention,
Yours,Russell Dickerson,artist:russell track:yours,
Unforgettable,French Montana Featuring Swae Lee,artist:french track:unforgettable,
Outside Today,YoungBoy Never Broke Again,artist:youngboy track:outside today,
Stir Fry,Migos,artist:migos track:stir fry,
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",artist:chris track:pills and automobiles,
All The Stars,Kendrick Lamar & SZA,artist:kendrick track:all the stars,
Good Old Days,Macklemore Featuring Kesha,artist:macklemore track:good old days,
Mine,Bazzi,artist:bazzi track:mine,
Nowadays,Lil Skies Featuring Landon Cube,artist:lil track:nowadays,
Pick It Up,Famous Dex Featuring A$AP Rocky,artist:famous track:pick it up,
Greatest Love Story,LANCO,artist:lanco track:greatest love story,
Written In The Sand,Old Dominion,artist:old track:written in the sand,
No Smoke,YoungBoy Never Broke Again,artist:youngboy track:no smoke,
Losing Sleep,Chris Young,artist:chris track:losing sleep,
Like I Loved You,Brett Young,artist:brett track:like i loved you,
Five More Minutes,Scotty McCreery,artist:scotty track:five more minutes,
Sick Boy,The Chainsmokers,artist:chainsmokers track:sick boy,
This Is Me,Keala Settle & The Greatest Showman Ensemble,artist:keala track:this is me,
Heaven,Kane Brown,artist:kane track:heaven,
Echame La Culpa,Luis Fonsi & Demi Lovato,artist:luis track:echame la culpa,
Rubbin Off The Paint,YBN Nahmir,artist:ybn track:rubbin off the paint,
You Broke Up With Me,Walker Hayes,artist:walker track:you broke up with me,
Supplies,Justin Timberlake,artist:justin track:supplies,
Codeine Dreaming,Kodak Black Featuring Lil Wayne,artist:kodak track:codeine dreaming,
Betrayed,Lil Xan,artist:lil track:betrayed,
Red Roses,Lil Skies Featuring Landon Cube,artist:lil track:red roses,
One Foot,WALK THE MOON,artist:walk track:one foot,
La Modelo,Ozuna x Cardi B,artist:ozuna track:la modelo,
Rewrite The Stars,Zac Efron & Zendaya,artist:zac track:rewrite the stars,
Candy Paint,Post Malone,artist:post track:candy paint,
Tell Me You Love Me,Demi Lovato,artist:demi track:tell me you love me,
Round Here Buzz,Eric Church,artist:eric track:round here buzz,
All On Me,Devin Dawson,artist:devin track:all on me,
No Name,NF,artist:nf track:no name,
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",artist:jay track:king's dead,
MIC Drop,BTS Featuring Desiigner,artist:bts track:mic drop,
Broken Halos,Chris Stapleton,artist:chris track:broken halos,
Kooda,6ix9ine,artist:6ix9ine track:kooda,
Legends,Kelsea Ballerini,artist:kelsea track:legends,
Wait,Maroon 5,artist:maroon track:wait,
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",artist:sofi track:best friend,
Ice Tray,Quavo & Lil Yachty,artist:quavo track:ice tray,
Beautiful Trauma,P!nk,artist:p!nk track:beautiful trauma,
IDGAF,Dua Lipa,artist:dua track:idgaf,
Corazon,Maluma X Nego do Borel,artist:maluma track:corazon,
Mayores,Becky G Featuring Bad Bunny,artist:becky track:mayores,
The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",artist:hugh track:the greatest show,
Never Enough,Loren Allred,artist:loren track:never enough,
My Dawg,Lil Baby,artist:lil track:my dawg,
I'll Name The Dogs,Blake Shelton,artist:blake track:i'll name the dogs,
Rock,Plies,artist:plies track:rock,
Female,Keith Urban,artist:keith track:female,
The Weekend,SZA,artist:sza track:the weekend,
The Champion,Carrie Underwood Featuring Ludacris,artist:carrie track:the champion,
Silence,Marshmello Featuring Khalid,artist:marshmello track:silence,
My My My!,Troye Sivan,artist:troye track:my my my!,
Tequila,Dan + Shay,artist:dan track:tequila,
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian","artist:farruko, track:krippy kush",
...Ready For It?,Taylor Swift,artist:taylor track:...ready for it?,
El Bano,Enrique Iglesias Featuring Bad Bunny,artist:enrique track:el bano,
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,artist:luis track:despacito,
That's What I Like,Bruno Mars,artist:bruno track:that's what i like,
I Could Use A Love Song,Maren Morris,artist:maren track:i could use a love song,
For You (Fifty Shades Freed),Liam Payne & Rita Ora,artist:liam track:for you ,
I Miss You,Clean Bandit Featuring Julia Michaels,artist:clean track:i miss you,
Too Much To Ask,Niall Horan,artist:niall track:too much to ask,
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",artist:machine track:home,
Juice,Yo Gotti,artist:yo track:juice,
What About Us,P!nk,artist:p!nk track:what about us,
Look What You Made Me Do,Taylor Swift,artist:taylor track:look what you made me do,
Light It Up,Luke Bryan,artist:luke track:light it up,
Dusk Till Dawn,Zayn Featuring Sia,artist:zayn track:dusk till dawn,
When We,Tank,artist:tank track:when we,
Wanted You,NAV Featuring Lil Uzi Vert,artist:nav track:wanted you,
F**k Love,XXXTentacion Featuring Trippie Redd,artist:xxxtentacion track:fk love,
All I Want For Christmas Is You,Mariah Carey,artist:mariah track:all i want for christmas is you,
Rockin' Around The Christmas Tree,Brenda Lee,artist:brenda track:rockin' around the christmas tree,
It's The Most Wonderful Time Of The Year,Andy Williams,artist:andy track:it's the most wonderful time of the year,
The Christmas Song (Merry Christmas To You),Nat King Cole,artist:nat track:the christmas song ,
A Holly Jolly Christmas,Burl Ives,artist:burl track:a holly jolly christmas,
The Race,Tay-K,artist:tay-k track:the race,
Eye 2 Eye,Huncho Jack Featuring Takeoff,artist:huncho track:eye 2 eye,
Modern Slavery,Huncho Jack,artist:huncho track:modern slavery,
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,artist:imagine track:thunder/young dumb & broke ,
Black & Chinese,Huncho Jack,artist:huncho track:black & chinese,
Dubai Shit,Huncho Jack Featuring Offset,artist:huncho track:dubai shit,
Huncho Jack,Huncho Jack,artist:huncho track:huncho jack,
Motorcycle Patches,Huncho Jack,artist:huncho track:motorcycle patches,
Saint,Huncho Jack,artist:huncho track:saint,
Walk On Water,Eminem Featuring Beyonce,artist:eminem track:walk on water,
Last Christmas,Wham!,artist:wham! track:last christmas,
Humble.,Kendrick Lamar,artist:kendrick track:humble.,
There's Nothing Holdin' Me Back,Shawn Mendes,artist:shawn track:there's nothing holdin' me back,
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,artist:big track:go legend,
When It Rains It Pours,Luke Combs,artist:luke track:when it rains it pours,
Unforgettable,Thomas Rhett,artist:thomas track:unforgettable,
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,artist:trippie track:dark knight dummo,
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,artist:big track:pull up n wreck,
Danger,Migos & Marshmello,artist:migos track:danger,
Untouchable,Eminem,artist:eminem track:untouchable,
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",artist:21 track:ghostface killers,
Jocelyn Flores,XXXTentacion,artist:xxxtentacion track:jocelyn flores,
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,artist:calvin track:faking it,
Congratulations,Post Malone Featuring Quavo,artist:post track:congratulations,
Love So Soft,Kelly Clarkson,artist:kelly track:love so soft,
Transportin',Kodak Black,artist:kodak track:transportin',
Ask Me How I Know,Garth Brooks,artist:garth track:ask me how i know,
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,artist:romeo track:bella y sensual,
Criminal,Natti Natasha x Ozuna,artist:natti track:criminal,
Sauce It Up,Lil Uzi Vert,artist:lil track:sauce it up,
Rake It Up,Yo Gotti Featuring Nicki Minaj,artist:yo track:rake it up,
Praying,Kesha,artist:kesha track:praying,
Strip That Down,Liam Payne Featuring Quavo,artist:liam track:strip that down,
Do Re Mi,Blackbear,artist:blackbear track:do re mi,
Slow Hands,Niall Horan,artist:niall track:slow hands,
Fix A Drink,Chris Janson,artist:chris track:fix a drink,
It's Everyday Bro,Jake Paul Featuring Team 10,artist:jake track:it's everyday bro,
Go Flex,Post Malone,artist:post track:go flex,
Total Eclipse Of The Heart,Chloe Kohanski,artist:chloe track:total eclipse of the heart,
Perro Fiel,Shakira Featuring Nicky Jam,artist:shakira track:perro fiel,
Awful Things,Lil Peep,artist:lil track:awful things,
Relationship,Young Thug Featuring Future,artist:young track:relationship,
Every Little Thing,Carly Pearce,artist:carly track:every little thing,
Glorious,Macklemore Featuring Skylar Grey,artist:macklemore track:glorious,
Questions,Chris Brown,artist:chris track:questions,
The Rest Of Our Life,Tim McGraw & Faith Hill,artist:tim track:the rest of our life,
What Ifs,Kane Brown Featuring Lauren Alaina,artist:kane track:what ifs,
XO TOUR Llif3,Lil Uzi Vert,artist:lil track:xo tour llif3,
Something Just Like This,The Chainsmokers & Coldplay,artist:chainsmokers track:something just like this,
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,artist:goldlink track:crew,
Call It What You Want,Taylor Swift,artist:taylor track:call it what you want,
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",artist:21 track:rap saved me,
Gorgeous,Taylor Swift,artist:taylor track:gorgeous,
Smooth,Florida Georgia Line,artist:florida track:smooth,
The Plan,G-Eazy,artist:g-eazy track:the plan,
Patek Water,Future & Young Thug Featuring Offset,artist:future track:patek water,
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,artist:dj track:wild thoughts,
Body Like A Back Road,Sam Hunt,artist:sam track:body like a back road,
My Choppa Hate N****s,21 Savage & Metro Boomin,artist:21 track:my choppa hate ns,
Pray,Sam Smith,artist:sam track:pray,
Mad Stalkers,"21 Savage, Offset & Metro Boomin",artist:21 track:mad stalkers,
Nightmare,Offset & Metro Boomin,artist:offset track:nightmare,
Location,Khalid,artist:khalid track:location,
Heartache On The Dance Floor,Jon Pardi ,artist:jon track:heartache on the dance floor,
B.E.D.,Jacquees,artist:jacquees track:b.e.d.,
Too Hotty,"Quavo, Takeoff & Offset","artist:quavo, track:too hotty",
All The Pretty Girls,Kenny Chesney,artist:kenny track:all the pretty girls,
More Girls Like You,Kip Moore,artist:kip track:more girls like you,
High End,Chris Brown Featuring Future & Young Thug,artist:chris track:high end,
Love Galore,SZA Featuring Travis Scott,artist:sza track:love galore,
Butterfly Effect,Travis Scott,artist:travis track:butterfly effect,
No Cap,Future & Young Thug,artist:future track:no cap,
Feed Me Dope,Future,artist:future track:feed me dope,
Escapate Conmigo, Wisin Featuring Ozuna,artist:wisin track:escapate conmigo,
All Da Smoke,Future & Young Thug,artist:future track:all da smoke,
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",artist:2 track:it's a vibe,
4 Da Gang,Future,artist:future track:4 da gang,
Friends,Justin Bieber + BloodPop,artist:justin track:friends,
Bedroom Floor,Liam Payne,artist:liam track:bedroom floor,
Three,Future & Young Thug,artist:future track:three,
Say You Won't Let Go,James Arthur,artist:james track:say you won't let go,
No Promises,Cheat Codes Featuring Demi Lovato,artist:cheat track:no promises,
Small Town Boy,Dustin Lynch,artist:dustin track:small town boy,
Curve,Gucci Mane Featuring The Weeknd,artist:gucci track:curve,
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",artist:calvin track:feels,
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,artist:gucci track:stunting ain't nuthin,
They Don't Know,Jason Aldean,artist:jason track:they don't know,
Do I Make You Wanna,Billy Currington,artist:billy track:do i make you wanna,
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,artist:lin-manuel track:almost like praying,
Loyalty.,Kendrick Lamar Featuring Rihanna,artist:kendrick track:loyalty.,
Dear Hate,Maren Morris Featuring Vince Gill,artist:maren track:dear hate,
No Promises,A Boogie Wit da Hoodie,artist:a track:no promises,
Say A',A Boogie Wit da Hoodie,artist:a track:say a',
DNA,BTS,artist:bts track:dna,
Redbone,Childish Gambino,artist:childish track:redbone,
Hi Bich,Bhad Bhabie,artist:bhad track:hi bich,
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,artist:a track:undefeated,
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,artist:a track:beast mode,
It Ain't My Fault,Brothers Osborne,artist:brothers track:it ain't my fault,
No Such Thing As A Broken Heart,Old Dominion,artist:old track:no such thing as a broken heart,
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,artist:meek track:whatever you need,
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",artist:dj track:i'm the one,
Stay,Zedd & Alessia Cara,artist:zedd track:stay,
Felices Los 4,Maluma,artist:maluma track:felices los 4,
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,artist:louis track:back to you,
Fetish,Selena Gomez Featuring Gucci Mane,artist:selena track:fetish,
Wish I Knew You,The Revivalists,artist:revivalists track:wish i knew you,
Mask Off,Future,artist:future track:mask off,
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",artist:lorde track:homemade dynamite,
Drinkin' Problem,Midland,artist:midland track:drinkin' problem,
Everybody Dies In Their Nightmares,XXXTentacion,artist:xxxtentacion track:everybody dies in their nightmares,
These Heaux,Bhad Bhabie,artist:bhad track:these heaux,
No Complaints,Metro Boomin Featuring Offset & Drake,artist:metro track:no complaints,
Magnolia,Playboi Carti,artist:playboi track:magnolia,
Found You,Kane Brown,artist:kane track:found you,
Versace On The Floor,Bruno Mars,artist:bruno track:versace on the floor,
Swish Swish,Katy Perry Featuring Nicki Minaj,artist:katy track:swish swish,
444+222,Lil Uzi Vert,artist:lil track:444+222,
My Girl,Dylan Scott,artist:dylan track:my girl,
Most Girls,Hailee Steinfeld,artist:hailee track:most girls,
Dark Queen,Lil Uzi Vert,artist:lil track:dark queen,
X,Lil Uzi Vert,artist:lil track:x,
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,artist:lil track:neon guts,
Revenge,XXXTentacion,artist:xxxtentacion track:revenge,
Somebody Else Will,Justin Moore,artist:justin track:somebody else will,
Reminder,The Weeknd,artist:weeknd track:reminder,
No Fear,DeJ Loaf,artist:dej track:no fear,
It Ain't Me,Kygo x Selena Gomez,artist:kygo track:it ain't me,
DNA.,Kendrick Lamar,artist:kendrick track:dna.,
Two,Lil Uzi Vert,artist:lil track:two,
For Real,Lil Uzi Vert,artist:lil track:for real,
UnFazed,Lil Uzi Vert Featuring The Weeknd,artist:lil track:unfazed,
No Sleep Leak,Lil Uzi Vert,artist:lil track:no sleep leak,
Depression & Obsession,XXXTentacion,artist:xxxtentacion track:depression & obsession,
Save Me,XXXTentacion,artist:xxxtentacion track:save me,
Carry On,XXXTentacion,artist:xxxtentacion track:carry on,
Down,Fifth Harmony Featuring Gucci Mane,artist:fifth track:down,
Now Or Never,Halsey,artist:halsey track:now or never,
Everyday We Lit,YFN Lucci Featuring PnB Rock,artist:yfn track:everyday we lit,
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,artist:a track:drowning,
Castle On The Hill,Ed Sheeran,artist:ed track:castle on the hill,
You Look Good,Lady Antebellum,artist:lady track:you look good,
2U,David Guetta Featuring Justin Bieber,artist:david track:2u,
Younger Now,Miley Cyrus,artist:miley track:younger now,
Its Every Night Sis,RiceGum Featuring Alissa Violet,artist:ricegum track:its every night sis,
Honest,The Chainsmokers,artist:chainsmokers track:honest,
Flatliner,Cole Swindell,artist:cole track:flatliner,
Perplexing Pegasus,Rae Sremmurd,artist:rae track:perplexing pegasus,
For Her,Chris Lane,artist:chris track:for her,
Patty Cake,Kodak Black,artist:kodak track:patty cake,
4 AM,2 Chainz Featuring Travis Scott,artist:2 track:4 am,
Untouchable,YoungBoy Never Broke Again,artist:youngboy track:untouchable,
Privacy,Chris Brown,artist:chris track:privacy,
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",artist:major track:know no better,
In Case You Didn't Know,Brett Young,artist:brett track:in case you didn't know,
Slippery,Migos Featuring Gucci Mane,artist:migos track:slippery,
Craving You,Thomas Rhett Featuring Maren Morris,artist:thomas track:craving you,
Malibu,Miley Cyrus,artist:miley track:malibu,
Bad Liar,Selena Gomez,artist:selena track:bad liar,
First Day Out,Tee Grizzley,artist:tee track:first day out,
Something New,Wiz Khalifa Featuring Ty Dolla $ign,artist:wiz track:something new,
It's Goin' Down,Descendants 2 Cast,artist:descendants track:it's goin' down,
El Amante,Nicky Jam,artist:nicky track:el amante,
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,artist:playboi track:wokeuplikethis,
Issues,Julia Michaels,artist:julia track:issues,
OMG,Camila Cabello Featuring Quavo,artist:camila track:omg,
What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair",artist:china track:what's my name,
You Da Baddest,Future Featuring Nicki Minaj,artist:future track:you da baddest,
Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope",artist:sofia track:chillin' like a villain,
Rolex,Ayo & Teo,artist:ayo track:rolex,
Passionfruit,Drake,artist:drake track:passionfruit,
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,artist:jason track:swalla,
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",artist:enrique track:subeme la radio,
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,"artist:florida track:god, your mama, and me",
Heavy,Linkin Park Featuring Kiiara,artist:linkin track:heavy,
Learn To Let Go,Kesha,artist:kesha track:learn to let go,
Signs,Drake,artist:drake track:signs,
Numb,Linkin Park,artist:linkin track:numb,
In The End,Linkin Park,artist:linkin track:in the end,
Closer,The Chainsmokers Featuring Halsey,artist:chainsmokers track:closer,
The Fighter,Keith Urban Featuring Carrie Underwood,artist:keith track:the fighter,
Issues,Meek Mill,artist:meek track:issues,
Wins & Losses,Meek Mill,artist:meek track:wins & losses,
1942 Flows,Meek Mill,artist:meek track:1942 flows,
Yours If You Want It,Rascal Flatts,artist:rascal track:yours if you want it,
Imitadora,Romeo Santos,artist:romeo track:imitadora,
The Story Of O.J.,JAY-Z,artist:jay-z track:the story of o.j.,
We Ball,Meek Mill Featuring Young Thug,artist:meek track:we ball,
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,artist:meek track:fk that check up,
Heavy Heart,Meek Mill,artist:meek track:heavy heart,
Bad And Boujee,Migos Featuring Lil Uzi Vert,artist:migos track:bad and boujee,
iSpy,KYLE Featuring Lil Yachty,artist:kyle track:ispy,
24K Magic,Bruno Mars,artist:bruno track:24k magic,
4:44,JAY-Z,artist:jay-z track:4:44,
Crying In The Club,Camila Cabello,artist:camila track:crying in the club,
A Lie,French Montana Featuring The Weeknd & Max B,artist:french track:a lie,
Every Time I Hear That Song,Blake Shelton,artist:blake track:every time i hear that song,
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,artist:jake track:jerika,
The Cure,Lady Gaga,artist:lady track:the cure,
Weak,AJR,artist:ajr track:weak,
Woman,Kesha Featuring The Dap-Kings Horns,artist:kesha track:woman,
Rollin,Calvin Harris Featuring Future & Khalid,artist:calvin track:rollin,
Element.,Kendrick Lamar,artist:kendrick track:element.,
Slide,Calvin Harris Featuring Frank Ocean & Migos,artist:calvin track:slide,
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",artist:jay-z track:bam,
Hurricane,Luke Combs,artist:luke track:hurricane,
Family Feud,JAY-Z Featuring Beyonce ,artist:jay-z track:family feud,
Kill Jay Z,JAY-Z,artist:jay-z track:kill jay z,
Smile,JAY-Z Featuring Gloria Carter,artist:jay-z track:smile,
Caught Their Eyes,JAY-Z Featuring Frank Ocean,artist:jay-z track:caught their eyes,
Moonlight,JAY-Z,artist:jay-z track:moonlight,
Marcy Me,JAY-Z,artist:jay-z track:marcy me,
Get Low,Zedd & Liam Payne,artist:zedd track:get low,
Famous,21 Savage,artist:21 track:famous,
Goosebumps,Travis Scott,artist:travis track:goosebumps,
T-Shirt,Migos,artist:migos track:t-shirt,
Tunnel Vision,Kodak Black,artist:kodak track:tunnel vision,
Sign Of The Times,Harry Styles,artist:harry track:sign of the times,
Who Dat Boy,"Tyler, The Creator ","artist:tyler, track:who dat boy",
Portland,Drake Featuring Quavo & Travis Scott,artist:drake track:portland,
Losin Control,Russ,artist:russ track:losin control,
Extra Luv,Future Featuring YG,artist:future track:extra luv,
How Not To,Dan + Shay,artist:dan track:how not to,
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,artist:dj track:don't quit,
To The Max,DJ Khaled Featuring Drake,artist:dj track:to the max,
If I Told You,Darius Rucker,artist:darius track:if i told you,
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",artist:dj track:on everything,
Cold,Maroon 5 Featuring Future,artist:maroon track:cold,
Good Drank,2 Chainz x Gucci Mane x Quavo,artist:2 track:good drank,
Shining,DJ Khaled Featuring Beyonce & JAY Z,artist:dj track:shining,
Scars To Your Beautiful,Alessia Cara,artist:alessia track:scars to your beautiful,
Look At Me!,XXXTentacion,artist:xxxtentacion track:look at me!,
First Day Out,Kodak Black,artist:kodak track:first day out,
My Old Man,Zac Brown Band,artist:zac track:my old man,
Nobody Else But You,Trey Songz,artist:trey track:nobody else but you,
Real Hitta,Plies Featuring Kodak Black,artist:plies track:real hitta,
Swang,Rae Sremmurd,artist:rae track:swang,
Bon Appetit,Katy Perry Featuring Migos,artist:katy track:bon appetit,
Black,Dierks Bentley,artist:dierks track:black,
Hometown Girl,Josh Turner,artist:josh track:hometown girl,
Gyalchester,Drake,artist:drake track:gyalchester,
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,artist:clean track:rockabye,
Peek A Boo,Lil Yachty Featuring Migos,artist:lil track:peek a boo,
Met Gala,Gucci Mane Featuring Offset,artist:gucci track:met gala,
Scared To Be Lonely,Martin Garrix & Dua Lipa,artist:martin track:scared to be lonely,
Human,Rag'n'Bone Man,artist:rag'n'bone track:human,
Paris,The Chainsmokers,artist:chainsmokers track:paris,
Somethin Tells Me,Bryson Tiller,artist:bryson track:somethin tells me,
Me Enamore,Shakira,artist:shakira track:me enamore,
Self-Made,Bryson Tiller,artist:bryson track:self-made,
Don't Get Too High,Bryson Tiller,artist:bryson track:don't get too high,
Run Me Dry,Bryson Tiller,artist:bryson track:run me dry,
There For You,Martin Garrix x Troye Sivan,artist:martin track:there for you,
No Longer Friends,Bryson Tiller,artist:bryson track:no longer friends,
Strangers,Halsey Featuring Lauren Jauregui,artist:halsey track:strangers,
Deja Vu,Lauren Duski,artist:lauren track:deja vu,
Money On You,Chris Blue,artist:chris track:money on you,
Chained To The Rhythm,Katy Perry Featuring Skip Marley,artist:katy track:chained to the rhythm,
At My Best,Machine Gun Kelly Featuring Hailee Steinfeld,artist:machine track:at my best,
The Dance,Lauren Duski,artist:lauren track:the dance,
Boy,Lee Brice,artist:lee track:boy,
Either Way,Chris Stapleton,artist:chris track:either way,
Any Ol' Barstool,Jason Aldean,artist:jason track:any ol' barstool,
Love On The Brain,Rihanna,artist:rihanna track:love on the brain,
Both,Gucci Mane Featuring Drake,artist:gucci track:both,
I Feel It Coming,The Weeknd Featuring Daft Punk,artist:weeknd track:i feel it coming,
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,artist:zayn track:i don't wanna live forever ,
Bounce Back,Big Sean,artist:big track:bounce back,
The Weekend,Brantley Gilbert,artist:brantley track:the weekend,
Prblms,6LACK,artist:6lack track:prblms,
Yeah Boy,Kelsea Ballerini,artist:kelsea track:yeah boy,
Good Life,G-Eazy & Kehlani,artist:g-eazy track:good life,
Whatever It Takes,Imagine Dragons,artist:imagine track:whatever it takes,
Cake, Flo Rida & 99 Percent,artist:flo track:cake,
Ghost In This House,Lauren Duski,artist:lauren track:ghost in this house,
Everybody,Logic,artist:logic track:everybody,
The Night We Met,Lord Huron,artist:lord track:the night we met,
Galway Girl,Ed Sheeran,artist:ed track:galway girl,
Moves,Big Sean,artist:big track:moves,
Down,Marian Hill ,artist:marian track:down,
Can't Stop The Feeling!,Justin Timberlake,artist:justin track:can't stop the feeling!,
First Time,Kygo & Ellie Goulding,artist:kygo track:first time,
XXX.,Kendrick Lamar Featuring U2,artist:kendrick track:xxx.,
Party,Chris Brown Featuring Usher & Gucci Mane,artist:chris track:party,
Yah.,Kendrick Lamar,artist:kendrick track:yah.,
Sweet Creature,Harry Styles,artist:harry track:sweet creature,
Selfish,Future Featuring Rihanna,artist:future track:selfish,
Call On Me,Starley,artist:starley track:call on me,
You're Welcome,Dwayne Johnson,artist:dwayne track:you're welcome,
Mercy,Shawn Mendes,artist:shawn track:mercy,
