year,avg_valence
2017,0.5147142857142858
2016,0.4903333333333333
2015,0.5255200000000001
2014,0.5892407407407408
2013,0.5042413793103449
2012,0.6172142857142856
2011,0.4634199999999999
2010,0.5424897435897437
2009,0.5566666666666666
2008,0.509972222222222
2007,0.5283939393939391
2006,0.5358055555555556
2005,0.5542848484848486
2004,0.6125694444444443
2003,0.620757575757576
2002,0.6073083333333333
2001,0.6216947368421051
2000,0.6201944444444445
1999,0.5890804878048778
1998,0.46717999999999993
1997,0.5865258064516128
1996,0.4381357142857142
1995,0.5114166666666667
1994,0.5295151515151515
1993,0.4866875
1992,0.45913714285714285
1991,0.6233275862068964
1990,0.5499692307692311
1989,0.5747857142857142
1988,0.5979249999999999
1987,0.6237323943661972
1986,0.6561428571428571
1985,0.6430151515151519
1984,0.6344796610169494
1983,0.67652
1982,0.6473409090909091
1981,0.5685714285714285
1980,0.5845489795918368
1979,0.007980392156862744
1978,0.5060217391304348
1977,0.5466636363636364
1976,0.6784655172413794
1975,0.5936783783783786
1974,0.6384533333333332
1973,0.6904843750000003
1972,0.6608437500000001
1971,0.587018181818182
1970,0.5713620689655173
1969,0.6241206896551726
1968,0.6292666666666668
